#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_zxx+is_latn+ix_iso1524a,#item+rem+i_zxx+is_zmth+ix_iso1524n,#item+rem+i_eng+is_latn,#item+rem+i_fra+is_latn
1603:47:15924:15,015,Pcun,015,Proto-Cuneiform,proto-cunéiforme
1603:47:15924:16,016,Pelm,016,Proto-Elamite,proto-élamite
1603:47:15924:20,020,Xsux,020,"Cuneiform, Sumero-Akkadian",cunéiforme suméro-akkadien
1603:47:15924:30,030,Xpeo,030,Old Persian,cunéiforme persépolitain
1603:47:15924:40,040,Ugar,040,Ugaritic,ougaritique
1603:47:15924:50,050,Egyp,050,Egyptian hieroglyphs,hiéroglyphes égyptiens
1603:47:15924:60,060,Egyh,060,Egyptian hieratic,hiératique égyptien
1603:47:15924:70,070,Egyd,070,Egyptian demotic,démotique égyptien
1603:47:15924:80,080,Hluw,080,"Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)","hiéroglyphes anatoliens (hiéroglyphes louvites, hiéroglyphes hittites)"
1603:47:15924:85,085,Nkdb,085,"Naxi Dongba (na²¹ɕi³³ to³³ba²¹, Nakhi Tomba)",naxi dongba
1603:47:15924:90,090,Maya,090,Mayan hieroglyphs,hiéroglyphes mayas
1603:47:15924:95,095,Sgnw,095,SignWriting,"SignÉcriture, SignWriting"
1603:47:15924:100,100,Mero,100,Meroitic Hieroglyphs,hiéroglyphes méroïtiques
1603:47:15924:101,101,Merc,101,Meroitic Cursive,cursif méroïtique
1603:47:15924:103,103,Psin,103,Proto-Sinaitic,proto-sinaïtique
1603:47:15924:105,105,Sarb,105,Old South Arabian,"sud-arabique, himyarite"
1603:47:15924:106,106,Narb,106,Old North Arabian (Ancient North Arabian),nord-arabique
1603:47:15924:109,109,Chrs,109,Chorasmian,chorasmien
1603:47:15924:115,115,Phnx,115,Phoenician,phénicien
1603:47:15924:116,116,Lydi,116,Lydian,lydien
1603:47:15924:120,120,Tfng,120,Tifinagh (Berber),tifinagh (berbère)
1603:47:15924:123,123,Samr,123,Samaritan,samaritain
1603:47:15924:124,124,Armi,124,Imperial Aramaic,araméen impérial
1603:47:15924:125,125,Hebr,125,Hebrew,hébreu
1603:47:15924:126,126,Palm,126,Palmyrene,palmyrénien
1603:47:15924:127,127,Hatr,127,Hatran,hatrénien
1603:47:15924:128,128,Elym,128,Elymaic,élymaïque
1603:47:15924:130,130,Prti,130,Inscriptional Parthian,parthe des inscriptions
1603:47:15924:131,131,Phli,131,Inscriptional Pahlavi,pehlevi des inscriptions
1603:47:15924:132,132,Phlp,132,Psalter Pahlavi,pehlevi des psautiers
1603:47:15924:133,133,Phlv,133,Book Pahlavi,pehlevi des livres
1603:47:15924:134,134,Avst,134,Avestan,avestique
1603:47:15924:135,135,Syrc,135,Syriac,syriaque
1603:47:15924:136,136,Syrn,136,Syriac (Eastern variant),syriaque (variante orientale)
1603:47:15924:137,137,Syrj,137,Syriac (Western variant),syriaque (variante occidentale)
1603:47:15924:138,138,Syre,138,Syriac (Estrangelo variant),syriaque (variante estranghélo)
1603:47:15924:139,139,Mani,139,Manichaean,manichéen
1603:47:15924:140,140,Mand,140,"Mandaic, Mandaean",mandéen
1603:47:15924:141,141,Sogd,141,Sogdian,sogdien
1603:47:15924:142,142,Sogo,142,Old Sogdian,ancien sogdien
1603:47:15924:143,143,Ougr,143,Old Uyghur,ancien ouïgour
1603:47:15924:145,145,Mong,145,Mongolian,mongol
1603:47:15924:159,159,Nbat,159,Nabataean,nabatéen
1603:47:15924:160,160,Arab,160,Arabic,arabe
1603:47:15924:161,161,Aran,161,Arabic (Nastaliq variant),arabe (variante nastalique)
1603:47:15924:165,165,Nkoo,165,N’Ko,n’ko
1603:47:15924:166,166,Adlm,166,Adlam,adlam
1603:47:15924:167,167,Rohg,167,Hanifi Rohingya,hanifi rohingya
1603:47:15924:170,170,Thaa,170,Thaana,thâna
1603:47:15924:175,175,Orkh,175,"Old Turkic, Orkhon Runic",orkhon
1603:47:15924:176,176,Hung,176,Old Hungarian (Hungarian Runic),runes hongroises (ancien hongrois)
1603:47:15924:192,192,Yezi,192,Yezidi,yézidi
1603:47:15924:200,200,Grek,200,Greek,grec
1603:47:15924:201,201,Cari,201,Carian,carien
1603:47:15924:202,202,Lyci,202,Lycian,lycien
1603:47:15924:204,204,Copt,204,Coptic,copte
1603:47:15924:206,206,Goth,206,Gothic,gotique
1603:47:15924:210,210,Ital,210,"Old Italic (Etruscan, Oscan, etc.)","ancien italique (étrusque, osque, etc.)"
1603:47:15924:211,211,Runr,211,Runic,runique
1603:47:15924:212,212,Ogam,212,Ogham,ogam
1603:47:15924:215,215,Latn,215,Latin,latin
1603:47:15924:216,216,Latg,216,Latin (Gaelic variant),latin (variante gaélique)
1603:47:15924:217,217,Latf,217,Latin (Fraktur variant),latin (variante brisée)
1603:47:15924:218,218,Moon,218,"Moon (Moon code, Moon script, Moon type)",écriture Moon
1603:47:15924:219,219,Osge,219,Osage,osage
1603:47:15924:220,220,Cyrl,220,Cyrillic,cyrillique
1603:47:15924:221,221,Cyrs,221,Cyrillic (Old Church Slavonic variant),cyrillique (variante slavonne)
1603:47:15924:225,225,Glag,225,Glagolitic,glagolitique
1603:47:15924:226,226,Elba,226,Elbasan,elbasan
1603:47:15924:227,227,Perm,227,Old Permic,ancien permien
1603:47:15924:228,228,Vith,228,Vithkuqi,vithkuqi
1603:47:15924:230,230,Armn,230,Armenian,arménien
1603:47:15924:239,239,Aghb,239,Caucasian Albanian,aghbanien
1603:47:15924:240,240,Geor,240,Georgian (Mkhedruli and Mtavruli),géorgien (mkhédrouli et mtavrouli)
1603:47:15924:241,241,Geok,241,Khutsuri (Asomtavruli and Nuskhuri),khoutsouri (assomtavrouli et nouskhouri)
1603:47:15924:250,250,Dsrt,250,Deseret (Mormon),déseret (mormon)
1603:47:15924:259,259,Bass,259,Bassa Vah,bassa
1603:47:15924:260,260,Osma,260,Osmanya,osmanais
1603:47:15924:261,261,Olck,261,"Ol Chiki (Ol Cemet’, Ol, Santali)",ol tchiki
1603:47:15924:262,262,Wara,262,Warang Citi (Varang Kshiti),warang citi
1603:47:15924:263,263,Pauc,263,Pau Cin Hau,paou chin haou
1603:47:15924:264,264,Mroo,264,"Mro, Mru",mro
1603:47:15924:265,265,Medf,265,"Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)",médéfaïdrine
1603:47:15924:274,274,Sunu,274,Sunuwar,sunuwar
1603:47:15924:275,275,Tnsa,275,Tangsa,tangsa
1603:47:15924:280,280,Visp,280,Visible Speech,parole visible
1603:47:15924:281,281,Shaw,281,Shavian (Shaw),shavien (Shaw)
1603:47:15924:282,282,Plrd,282,Miao (Pollard),miao (Pollard)
1603:47:15924:283,283,Wcho,283,Wancho,wantcho
1603:47:15924:284,284,Jamo,284,Jamo (alias for Jamo subset of Hangul),jamo (alias pour le sous-ensemble jamo du hangûl)
1603:47:15924:285,285,Bopo,285,Bopomofo,bopomofo
1603:47:15924:286,286,Hang,286,"Hangul (Hangŭl, Hangeul)","hangûl (hangŭl, hangeul)"
1603:47:15924:287,287,Kore,287,Korean (alias for Hangul + Han),coréen (alias pour hangûl + han)
1603:47:15924:288,288,Kits,288,Khitan small script,petite écriture khitan
1603:47:15924:290,290,Teng,290,Tengwar,tengwar
1603:47:15924:291,291,Cirt,291,Cirth,cirth
1603:47:15924:292,292,Sara,292,Sarati,sarati
1603:47:15924:293,293,Piqd,293,Klingon (KLI pIqaD),klingon (pIqaD du KLI)
1603:47:15924:294,294,Toto,294,Toto,toto
1603:47:15924:295,295,Nagm,295,Nag Mundari,nag mundari
1603:47:15924:300,300,Brah,300,Brahmi,brahma
1603:47:15924:302,302,Sidd,302,"Siddham, Siddhaṃ, Siddhamātṛkā",siddham
1603:47:15924:303,303,Ranj,303,Ranjana,ranjana
1603:47:15924:305,305,Khar,305,Kharoshthi,kharochthî
1603:47:15924:310,310,Guru,310,Gurmukhi,gourmoukhî
1603:47:15924:311,311,Nand,311,Nandinagari,nandinâgarî
1603:47:15924:312,312,Gong,312,Gunjala Gondi,gunjala gondî
1603:47:15924:313,313,Gonm,313,Masaram Gondi,masaram gondî
1603:47:15924:314,314,Mahj,314,Mahajani,mahâjanî
1603:47:15924:315,315,Deva,315,Devanagari (Nagari),dévanâgarî
1603:47:15924:316,316,Sylo,316,Syloti Nagri,sylotî nâgrî
1603:47:15924:317,317,Kthi,317,Kaithi,kaithî
1603:47:15924:318,318,Sind,318,"Khudawadi, Sindhi","khoudawadî, sindhî"
1603:47:15924:319,319,Shrd,319,"Sharada, Śāradā","charada, shard"
1603:47:15924:320,320,Gujr,320,Gujarati,goudjarâtî (gujrâtî)
1603:47:15924:321,321,Takr,321,"Takri, Ṭākrī, Ṭāṅkrī",tâkrî
1603:47:15924:322,322,Khoj,322,Khojki,khojkî
1603:47:15924:323,323,Mult,323,Multani,multanî
1603:47:15924:324,324,Modi,324,"Modi, Moḍī",modî
1603:47:15924:325,325,Beng,325,Bengali (Bangla),bengalî (bangla)
1603:47:15924:326,326,Tirh,326,Tirhuta,tirhouta
1603:47:15924:327,327,Orya,327,Oriya (Odia),oriyâ (odia)
1603:47:15924:328,328,Dogr,328,Dogra,dogra
1603:47:15924:329,329,Soyo,329,Soyombo,soyombo
1603:47:15924:330,330,Tibt,330,Tibetan,tibétain
1603:47:15924:331,331,Phag,331,Phags-pa,’phags pa
1603:47:15924:332,332,Marc,332,Marchen,marchen
1603:47:15924:333,333,Newa,333,"Newa, Newar, Newari, Nepāla lipi","néwa, néwar, néwari, nepāla lipi"
1603:47:15924:334,334,Bhks,334,Bhaiksuki,bhaïksukî
1603:47:15924:335,335,Lepc,335,Lepcha (Róng),lepcha (róng)
1603:47:15924:336,336,Limb,336,Limbu,limbou
1603:47:15924:337,337,Mtei,337,"Meitei Mayek (Meithei, Meetei)",meitei mayek
1603:47:15924:338,338,Ahom,338,"Ahom, Tai Ahom",âhom
1603:47:15924:339,339,Zanb,339,"Zanabazar Square (Zanabazarin Dörböljin Useg, Xewtee Dörböljin Bicig, Horizontal Square Script)",zanabazar quadratique
1603:47:15924:340,340,Telu,340,Telugu,télougou
1603:47:15924:342,342,Diak,342,Dives Akuru,dives akuru
1603:47:15924:343,343,Gran,343,Grantha,grantha
1603:47:15924:344,344,Saur,344,Saurashtra,saurachtra
1603:47:15924:345,345,Knda,345,Kannada,kannara (canara)
1603:47:15924:346,346,Taml,346,Tamil,tamoul
1603:47:15924:347,347,Mlym,347,Malayalam,malayâlam
1603:47:15924:348,348,Sinh,348,Sinhala,singhalais
1603:47:15924:349,349,Cakm,349,Chakma,chakma
1603:47:15924:350,350,Mymr,350,Myanmar (Burmese),birman
1603:47:15924:351,351,Lana,351,Tai Tham (Lanna),taï tham (lanna)
1603:47:15924:352,352,Thai,352,Thai,thaï
1603:47:15924:353,353,Tale,353,Tai Le,taï-le
1603:47:15924:354,354,Talu,354,New Tai Lue,nouveau taï-lue
1603:47:15924:355,355,Khmr,355,Khmer,khmer
1603:47:15924:356,356,Laoo,356,Lao,laotien
1603:47:15924:357,357,Kali,357,Kayah Li,kayah li
1603:47:15924:358,358,Cham,358,Cham,"cham (čam, tcham)"
1603:47:15924:359,359,Tavt,359,Tai Viet,taï viêt
1603:47:15924:360,360,Bali,360,Balinese,balinais
1603:47:15924:361,361,Java,361,Javanese,javanais
1603:47:15924:362,362,Sund,362,Sundanese,sundanais
1603:47:15924:363,363,Rjng,363,"Rejang (Redjang, Kaganga)",redjang (kaganga)
1603:47:15924:364,364,Leke,364,Leke,léké
1603:47:15924:365,365,Batk,365,Batak,batik
1603:47:15924:366,366,Maka,366,Makasar,makassar
1603:47:15924:367,367,Bugi,367,Buginese,bouguis
1603:47:15924:368,368,Kawi,368,Kawi,kawi
1603:47:15924:370,370,Tglg,370,"Tagalog (Baybayin, Alibata)","tagal (baybayin, alibata)"
1603:47:15924:371,371,Hano,371,Hanunoo (Hanunóo),hanounóo
1603:47:15924:372,372,Buhd,372,Buhid,bouhide
1603:47:15924:373,373,Tagb,373,Tagbanwa,tagbanoua
1603:47:15924:398,398,Sora,398,Sora Sompeng,sora sompeng
1603:47:15924:399,399,Lisu,399,Lisu (Fraser),lisu (Fraser)
1603:47:15924:400,400,Lina,400,Linear A,linéaire A
1603:47:15924:401,401,Linb,401,Linear B,linéaire B
1603:47:15924:402,402,Cpmn,402,Cypro-Minoan,syllabaire chypro-minoen
1603:47:15924:403,403,Cprt,403,Cypriot syllabary,syllabaire chypriote
1603:47:15924:410,410,Hira,410,Hiragana,hiragana
1603:47:15924:411,411,Kana,411,Katakana,katakana
1603:47:15924:412,412,Hrkt,412,Japanese syllabaries (alias for Hiragana + Katakana),syllabaires japonais (alias pour hiragana + katakana)
1603:47:15924:413,413,Jpan,413,Japanese (alias for Han + Hiragana + Katakana),japonais (alias pour han + hiragana + katakana)
1603:47:15924:420,420,Nkgb,420,"Naxi Geba (na²¹ɕi³³ gʌ²¹ba²¹, 'Na-'Khi ²Ggŏ-¹baw, Nakhi Geba)","naxi geba, nakhi geba"
1603:47:15924:430,430,Ethi,430,Ethiopic (Geʻez),"éthiopien (geʻez, guèze)"
1603:47:15924:435,435,Bamu,435,Bamum,bamoum
1603:47:15924:436,436,Kpel,436,Kpelle,kpèllé
1603:47:15924:437,437,Loma,437,Loma,loma
1603:47:15924:438,438,Mend,438,Mende Kikakui,mendé kikakui
1603:47:15924:439,439,Afak,439,Afaka,afaka
1603:47:15924:440,440,Cans,440,Unified Canadian Aboriginal Syllabics,syllabaire autochtone canadien unifié
1603:47:15924:445,445,Cher,445,Cherokee,tchérokî
1603:47:15924:450,450,Hmng,450,Pahawh Hmong,pahawh hmong
1603:47:15924:451,451,Hmnp,451,Nyiakeng Puachue Hmong,nyiakeng puachue hmong
1603:47:15924:460,460,Yiii,460,Yi,yi
1603:47:15924:470,470,Vaii,470,Vai,vaï
1603:47:15924:480,480,Wole,480,Woleai,woléaï
1603:47:15924:499,499,Nshu,499,Nüshu,nüshu
1603:47:15924:500,500,Hani,500,"Han (Hanzi, Kanji, Hanja)",idéogrammes han (sinogrammes)
1603:47:15924:501,501,Hans,501,Han (Simplified variant),idéogrammes han (variante simplifiée)
1603:47:15924:502,502,Hant,502,Han (Traditional variant),idéogrammes han (variante traditionnelle)
1603:47:15924:503,503,Hanb,503,Han with Bopomofo (alias for Han + Bopomofo),han avec bopomofo (alias pour han + bopomofo)
1603:47:15924:505,505,Kitl,505,Khitan large script,grande écriture khitan
1603:47:15924:510,510,Jurc,510,Jurchen,jurchen
1603:47:15924:520,520,Tang,520,Tangut,tangoute
1603:47:15924:530,530,Shui,530,Shuishu,shuishu
1603:47:15924:550,550,Blis,550,Blissymbols,symboles Bliss
1603:47:15924:570,570,Brai,570,Braille,braille
1603:47:15924:610,610,Inds,610,Indus (Harappan),indus
1603:47:15924:620,620,Roro,620,Rongorongo,rongorongo
1603:47:15924:755,755,Dupl,755,"Duployan shorthand, Duployan stenography",sténographie Duployé
1603:47:15924:900,900,Qaaa,900,Reserved for private use (start),réservé à l’usage privé (début)
1603:47:15924:949,949,Qabx,949,Reserved for private use (end),réservé à l’usage privé (fin)
1603:47:15924:993,993,Zsye,993,Symbols (Emoji variant),symboles (variante émoji)
1603:47:15924:994,994,Zinh,994,Code for inherited script,codet pour écriture héritée
1603:47:15924:995,995,Zmth,995,Mathematical notation,notation mathématique
1603:47:15924:996,996,Zsym,996,Symbols,symboles
1603:47:15924:997,997,Zxxx,997,Code for unwritten documents,codet pour les documents non écrits
1603:47:15924:998,998,Zyyy,998,Code for undetermined script,codet pour écriture indéterminée
1603:47:15924:999,999,Zzzz,999,Code for uncoded script,codet pour écriture non codée
