#item+conceptum+numerordinatio,#item+conceptum+codicem,#status+conceptum,#status+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_uid,#item+rem+i_qcc+is_zxxx+ix_csvsffxm,#item+rem+i_qcc+is_zxxx+ix_hxla,#item+rem+i_latn+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikiq+ix_linguam,#item+rem+i_qcc+is_zxxx+ix_wikiq+ix_scriptum,#item+rem+i_qcc+is_zxxx+ix_wikilngm,#item+rem+i_qcc+is_zxxx+ix_glottocode,#item+rem+i_qcc+is_zxxx+ix_iso639p3a3
1603:1:51:1,1,90,19,ara-Arab,__i_ara__is_arab,+i_ara+is_arab,Lingua Arabica (Abecedarium Arabicum),Q13955,Q8196,ar,arab1395,ara
1603:1:51:2,2,90,19,ben-Beng,__i_ben__is_beng,+i_ben+is_beng,Lingua Bengali (?),Q9610,,bn,beng1280,ben
1603:1:51:3,3,90,19,grc-Grek,__i_grc__is_grek,+i_grc+is_grek,Lingua Graeca antiqua (Alphabetum Graecum),Q35497,Q8216,grc,anci1242,grc
1603:1:51:4,4,90,19,lat-Latn,__i_lat__is_latn,+i_lat+is_latn,Lingua Latina (Abecedarium Latinum),Q397,Q8229,la,lati1261,lat
1603:1:51:5,5,90,19,rus-Cyrl,__i_rus__is_cyrl,+i_rus+is_cyrl,Lingua Russica (Abecedarium Cyrillicum),Q7737,Q8209,ru,russ1263,rus
1603:1:51:6,6,60,19,san-Zzzz,__i_san__is_zzzz,+i_san+is_zzzz,Lingua Sanscrita,Q11059,,sa,sans1269,san
1603:1:51:100,100,60,19,por-Latn,__i_por__is_latn,+i_por+is_latn,,,,pt,,
1603:1:51:101,101,60,19,eng-Latn,__i_eng__is_latn,+i_eng+is_latn,,,,en,,
1603:1:51:102,102,60,19,fra-Latn,__i_fra__is_latn,+i_fra+is_latn,,,,fr,,
1603:1:51:103,103,60,19,nld-Latn,__i_nld__is_latn,+i_nld+is_latn,,Q7411,,nl,mode1257,nld
1603:1:51:104,104,60,19,deu-Latn,__i_deu__is_latn,+i_deu+is_latn,Lingua Germanica (Abecedarium Latinum),Q188,,de,stan1295,deu
1603:1:51:105,105,60,19,spa-Latn,__i_spa__is_latn,+i_spa+is_latn,Lingua Hispanica (Abecedarium Latinum),Q1321,,es,stan1288,spa
1603:1:51:106,106,60,19,ita-Latn,__i_ita__is_latn,+i_ita+is_latn,Lingua Italiana (Abecedarium Latinum),Q652,,it,ital1282,ita
1603:1:51:107,107,60,19,gle-Latn,__i_gle__is_latn,+i_gle+is_latn,Lingua Hibernica (Abecedarium Latinum),Q9142,,ga,iris1253,gle
