#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_mul+is_zyyy,#item+rem+i_eng+is_latn,#item+rem+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_codexfacto,,,,,,,,,,,,
1603:1:99:0:1603:1:7:2616:50,0_1603_1_7_2616_50,,,,EticaAI,,,,,,,,,,,,
1603:1:99:0:1603:1:7:2616:123,0_1603_1_7_2616_123,,,,EticaAI,,,,,,,,,,,,
1603:1:99:0:1603:1:7:2616:2479,0_1603_1_7_2616_2479,,,,CC0-1.0,,,,,,,,,,,,
1603:1:99:0:1603:1:7:2616:577,0_1603_1_7_2616_577,,,,2022-04-14,,,,,,,,,,,,
1603:1:99:0:1603:1:7:2616:7535,0_1603_1_7_2616_7535,,,,/Temporary information about the library. Used to store on spreadsheets (not on code) messages not translated yet on dedicated dictionaries. Not intented for external use/@eng-Latn,,,,,,,,,,,,
1603:1:99:1,1,fīat lūx!,fīat lūx!,,,,,,,,,,,,,,
1603:1:99:2,2,,{% _🗣️ 1603_1_99_1 🗣️_ %},,,,,,,,,,,,,,
1603:1:99:3,3,,The result of this section is a preview. We're aware it is not well (Abecedarium formatted for a book format. Sorry for the temporary inconvenience.,,,,,,,,,,,,,,
1603:1:99:10,10,,/General text hardcoded on the 1603_1.py/,,,,,,,,,,,,,,
1603:1:99:10:1,10_1,,"_**Cōdex [{0}]**_ is the book format of the machine-readable structured data of the group of dictionaries _**[{0}] {1}**_, which are distributed for implementers to use on external applications. This book is intended as an advanced resource for other lexicographers and terminology translators, including to detect and report inconsistencies. It can, however, be used as an ad hoc dictionary if there is not derived work focused on your specific needs.\n\n**ABOUT LEXICOGRAPHY**\n\nPractical lexicography is the art or craft of compiling, writing and editing dictionaries. The basics are not far different from a millennia ago: it is still a very humane, creative work. It is necessary to be humble: most of the translator's mistakes are, in fact, not the translator's fault, but methodological flaws. Making sure of a source idea of what a concept represents, even if it means to rewrite and make simpler, annex pictures, show examples, do whatever to make it be understood, makes even non-professional translators that care about their own language deliver better results than any alternative. In other words: even the so-called industry best practices of paying professional translators and reviewers cannot overcome already poorly explained source terms.\n\n**ABOUT TYPES OF DICTIONARIES WE'RE COMPILING**\n\nWe're concerned with a group of ideas (we call it a group of dictionaries of concepts) which can be broken into smaller parts, reviewed for inconsistencies, improved for definitions, and then be translated by volunteers. Interlingual codes, such as what could be used on actual data exchange, are also added to each concept. Both glossaries, user interfaces (such as labels on data collection) and in some cases even standard codes for what would go on a data field could be compiled this way.\n\nSince the full list of prototypal-dictionaries and minimally usable dictionaries is huge, one mode to cite typical objective audiences is the following:\n\n. Humanitarian aid\n. Development aid\n. Human rights\n. Military relief (or conflict and conflict-resolution related concepts)\n\nThe items 1, 2 and 4 https://en.m.wikipedia.org/wiki/Humanitarian-Development_Nexus[are sometimes referred to as _nexus_] and are often found helping _humanitarian crisis_. Since most contributors whose ideas and valid criticism are volunteers, then 3 (human rights, as in International Amnesty) to differentiate from humanitarianism (such as Red Cross Movement is reference).\n\nNote that **dictionaries are not usage guides**. Instructions, when they exist, are mostly dedicated to lexicographers and translators.\n\n**/PRO BONŌ PUBLICŌ/@lat-Latn**\n\nThe lexicographers of this work are both volunteers, doing it for free, pro bonō publicō, and don't accept donations for the sake of everyone's reusable dictionaries. Existing previous work often is based on old public domain books. Most terminology translators already would be volunteers because they believe in a cause. The best way to inspire collaboration is to be examples ourselves.\n\nThere's a non-moralistic aspect, fairly simple to understand: how expensive would it be to pay for everyone's work, considering it is feasible over 200 languages? The logistics to decide who should be paid, then worldwide cash transfer (may include people from embargoed countries), then traditional auditing mechanisms to check misuse donors expect, exist? In special terminology (dictionary terms themselves) and so many languages, neither sufficient money nor humans interested in being coordinators exist.","_**Cōdex [{0}]**_ é o formato de livro dos dados estruturados legíveis por máquina do grupo de dicionários _**[{0}] {1}**_, que são distribuídos para os implementadores usarem em aplicativos externos. Este livro pretende ser um recurso avançado para outros lexicógrafos e tradutores de terminologia, inclusive para detectar e relatar inconsistências. Ele pode, no entanto, ser usado como um dicionário ad hoc se não houver trabalho derivado focado em suas necessidades específicas.\n\n**SOBRE LEXICOGRAFIA**\n\nA lexicografia prática é a arte ou ofício de compilar, escrever e editar dicionários. O básico não é muito diferente de um milênio atrás: ainda é um trabalho muito humano e criativo. É preciso ser humilde: a maioria dos erros de tradutores, na verdade, não é culpa do tradutor, mas falhas metodológicas. Certificar-se de uma ideia de origem do que um conceito representa, mesmo que signifique reescrever e simplificar, anexar fotos, mostrar exemplos, fazer o que for para que seja entendido, faz com que até mesmo tradutores não profissionais que se preocupam com sua própria língua entreguem melhor resultados do que qualquer alternativa. Em outras palavras: mesmo as chamadas melhores práticas da indústria de pagar tradutores e revisores profissionais não podem superar termos de origem já mal explicados.\n\n**SOBRE TIPOS DE DICIONÁRIOS QUE ESTAMOS COMPILANDO**\n\nEstamos preocupados com um grupo de idéias (chamamos isso de grupo de dicionários de conceitos) que podem ser divididos em partes menores, revisados quanto a inconsistências, aprimorados para definições e depois traduzidos por voluntários. Códigos interlinguais, como o que poderia ser usado na troca de dados real, também são adicionados a cada conceito. Ambos os glossários, interfaces de usuário (como rótulos na coleta de dados) e, em alguns casos, até códigos padrão para o que iria em um campo de dados podem ser compilados dessa maneira.\n\nComo a lista completa de dicionários-prototípicos e dicionários minimamente utilizáveis é enorme, um modo de citar público-alvos típicos é o seguinte:\n\n. Ajuda humanitária\n. Ajuda ao desenvolvimento\n. Direitos humanos\n. Socorro militar (ou conceitos relacionados a conflitos e resolução de conflitos)\n\nOs itens 1, 2 e 4 https://en.m.wikipedia.org/wiki/Humanitarian-Development_Nexus[são algumas vezes referidos como _nexus_] e são frequentemente encontrados ajudando _crise humanitária_. Já que a maioria dos colaboradores cujas ideias e críticas válidas são voluntárias, então 3 (direitos humanos, como na Anistia Internacional) para diferenciar do humanitarismo (como o Movimento da Cruz Vermelha é referência).\n\nObserve que **dicionários não são guias de uso**. As instruções, quando existem, são principalmente dedicadas a lexicógrafos e tradutores.\n\n**/PRO BONŌ PUBLICŌ/@lat-Latn**\n\nAs pessoas lexicógrafas deste trabalho são voluntárias, fazendo-o gratuitamente, pro bonō publicō, e não aceitam doações por causa dos dicionários reutilizáveis ​​de todos. O trabalho anterior existente muitas vezes é baseado em livros antigos de domínio público. A maioria dos tradutores de terminologia já seriam voluntários porque acreditam em uma causa. A melhor maneira de inspirar a colaboração é sermos nós mesmos exemplos.\n\nHá um aspecto não moralista, bastante simples de entender: quão caro seria pagar pelo trabalho de todos considerando que é viável em mais de 200 idiomas? A logística para decidir quem deve ser pago, depois a transferência de dinheiro em todo o mundo (pode incluir pessoas de países embargados), depois os mecanismos tradicionais de auditoria para verificar o uso indevido que os doadores esperam, existe? Em terminologia especial (os próprios termos do dicionário) e tantas línguas, não existe dinheiro suficiente nem humanos interessados ​​em ser coordenadores.",,,,,,,,,,,,,
1603:1:99:10:1:0,10_1_0,,"_**Cōdex [{0}]**_ is the book format of the machine-readable dictionaries _**[{0}] {1}**_, which are distributed for implementers on external applications. This book is intended as an advanced resource for other lexicographers and terminology translators, including detect and report inconsistencies. It can, however, be used as an ad hoc dictionary if there is not derived work focused on your specific needs.\n\n**ABOUT LEXICOGRAPHY**\n\nPractical lexicography is the art or craft of compiling, writing and editing dictionaries. The basics are not far different than a millennia ago: it is still a very humane, creative work. It is necessary to be humble: most of the translator's mistakes are, in fact, not the translator's fault, but methodological flaws. Making sure of a source idea of what a concept represents, even if it means rewrite and make simpler, annex pictures, show examples, do whatever to make it be understood, makes even non-professional translators that care about their own language deliver better results than any alternative. In other words: even the so-called industry best practices of paying professional translators and reviewers cannot overcome already poorly explained source terms.\n\n**ABOUT TYPES OF DICTIONARIES WE'RE COMPILING**\n\nWe're concerned with a group of ideas (we call it a group of dictionaries of concepts) which can be broken into smaller parts, reviewed for inconsistencies, improved for definitions, and then be translated by volunteers. Interlingual codes, such as what could be used on actual data exchange, are also added to each concept. Both glossaries, user interfaces (such as labels on data collection) and in some cases even standard codes for what would go on a data field could be compiled this way.\n\nSince the full list of prototypal-dictionaries and dictionaries is huge, one way cited by objective audiences is the following:\n\n1. Humanitarian aid2. Development aid\n3. Human rights\n4. Military relief (or conflict and conflict-resolution related concepts)\n\n// -\n\nThe itens 1, 2 and 4 https://en.m.wikipedia.org/wiki/Humanitarian-Development_Nexus[are sometimes referred as _nexus_] and are often found helping _humanitarian crisis_. Since most contributors whose ideas and valid criticism are volunteers, then 3 (human rights, as in International Amnesty) to differentiate from humanitarianism (such as Red Cross Movement is reference).\n\nNote that **dictionaries are not usage guides**. Instructions, when they exist, are mostly dedicated to lexicographers and translators.\n\n////\n**BUT ARE SPECIALIZED DICTIONARIES NECESSARY AT ALL?**\n\nThis preface text is generated with every Cōdex version, so this may be a prototype/draft one (which means not a good example), but the answer is: yes. But a _very boring yes_. References about decision making on dictionaries are very scarce through centuries, but a quick summary on this topic: **any dictionary compilation to be useful should be based on _de facto_ users needs, which is different from typical validation**.\n\nOur dictionaries are strongly focused on multilingualism but as 2022, maybe the close discussion at international level would be https://en.m.wikipedia.org/wiki/Localisation_(humanitarian_practice)[Localisation (humanitarian practice)]. However, _localisation_ on these discussions is a different sense than https://en.m.wikipedia.org/wiki/Internationalization_and_localization[Internationalization and localization], which is more aligned with use of these works on software.\n////\n**/PRO BONŌ PUBLICŌ/@lat-Latn**\n\nThe lexicographers of this work not only are volunteers doing it for free but they don't accept donations for the sake of everyone's reusable dictionaries. Existing previous work often is based on old public domain books and most terminology translators already would be volunteers because they believe in a cause. The best way to inspire collaboration is to be examples ourselves.\n\nThere's a non-moralistic aspect, fairly simple to understand: how expensive would it be to pay for everyone's work considering it is feasible over 200 languages? The logistics to decide who should be paid, then **worldwide** cash transfer (may include people from embargoed countries), then traditional auditing mechanisms to check misuse donors expect, exist? In special terminology (dictionary terms themselves) and so many languages, neither money nor humans interested in being coordinators exist.\n\nResuming: don't worth the trouble to be paid for this on such scale languages.",,,,,,,,,,,,,,
