#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikip,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlix,#item+rem+i_zxx+is_latn+ix_hxl+ix_hxlvoc
1603:3:12:6:1,1,P2082,ix_unm49,+v_unm49
1603:3:12:6:2,2,P2983,ix_undpcc,+v_undp_cc
1603:3:12:6:3,3,P3024,,
1603:3:12:6:4,4,,ix_unpcode,+v_pcode
1603:3:12:6:5,5,P1937,ix_unlocode,
1603:3:12:6:6,6,P498,ix_iso4217,+v_currency
1603:3:12:6:7,7,P297,ix_iso3166p1a2,+v_iso2
1603:3:12:6:8,8,P298,ix_iso3166p1a3,+v_iso3
1603:3:12:6:9,9,P299,ix_iso3166p1n,
1603:3:12:6:10,10,P882,ix_usfips,
1603:3:12:6:11,11,P901,,
1603:3:12:6:12,12,P1566,ix_geonameid,
1603:3:12:6:13,13,P218,ix_iso639p1a2,
1603:3:12:6:14,14,P219,ix_iso639p2a2,
1603:3:12:6:15,15,P220,ix_iso639p3a3,
1603:3:12:6:16,16,P1394,ix_glottocode,+v_glottocode
1603:3:12:6:17,17,P506,ix_iso15924a4,
1603:3:12:6:18,18,P2620,ix_iso15924n,
1603:3:12:6:19,19,P305,ix_bcp47,
1603:3:12:6:20,20,P229,,+v_iata_airline
1603:3:12:6:21,21,P230,,+v_icao_airline
1603:3:12:6:22,22,P238,,+v_iata_airport
1603:3:12:6:23,23,P239,,+v_icao_airport
1603:3:12:6:24,24,P402,ix_osmrelid,
1603:3:12:6:30,30,,ix_csv,+v_csv
1603:3:12:6:40,40,,ix_hxl,+v_hxl
1603:3:12:6:41,41,,ix_hxlhstg,+v_hxl_hashtag
1603:3:12:6:42,42,,ix_hxlcpt,+v_hxl_caput
1603:3:12:6:43,43,,ix_hxlt,+v_hxl_t
1603:3:12:6:44,44,,ix_hxla,+v_hxl_a
1603:3:12:6:50,50,P4179,,
1603:3:12:6:100,100,P734,,
1603:3:12:6:101,101,P735,,
1603:3:12:6:102,102,P4970,,
1603:3:12:6:103,103,P5056,,
1603:3:12:6:104,104,P5109,,
1603:3:12:6:105,105,P5110,,
1603:3:12:6:106,106,P5185,,
1603:3:12:6:107,107,P5186,,
1603:3:12:6:108,108,P5187,,+v_br_ibge
1603:3:12:6:109,109,P5191,,
1603:3:12:6:110,110,P5205,,
1603:3:12:6:111,111,P5206,,
1603:3:12:6:112,112,P5238,,
1603:3:12:6:113,113,P5280,,
1603:3:12:6:114,114,P5278,,
