#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_bul+is_cyrl,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_bul+is_cyrl,#adm1+name+alt2+i_bul+is_cyrl,#country+name+i_eng+is_latn,#country+name+i_bul+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:100:1:1,1,Blagoevgrad,Благоевград,BG001,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:2,2,Burgas,Бургас,BG002,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:3,3,Dobrich,Добрич,BG003,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:4,4,Gabrovo,Габрово,BG004,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:5,5,Haskovo,Хасково,BG005,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:6,6,Kardzhali,Кърджали,BG006,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:7,7,Kyustendil,Кюстендил,BG007,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:8,8,Lovech,Ловеч,BG008,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:9,9,Montana,Монтана,BG009,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:10,10,Pazardzhik,Пазарджик,BG010,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:11,11,Pernik,Перник,BG011,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:12,12,Pleven,Плевен,BG012,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:13,13,Plovdiv,Пловдив,BG013,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:14,14,Razgrad,Разград,BG014,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:15,15,Ruse,Русе,BG015,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:16,16,Shumen,Шумен,BG016,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:17,17,Silistra,Силистра,BG017,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:18,18,Sliven,Сливен,BG018,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:19,19,Smolyan,Смолян,BG019,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:20,20,Sofia,Софийска,BG020,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:21,21,Sofia-City,София-град,BG021,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:22,22,Stara Zagora,Стара Загора,BG022,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:23,23,Targovishte,Търговище,BG023,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:24,24,Varna,Варна,BG024,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:25,25,Veliko Tarnovo,Велико Търново,BG025,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:26,26,Vidin,Видин,BG026,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:27,27,Vratsa,Враца,BG027,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:1:28,28,Yambol,Ямбол,BG028,,,,,,Bulgaria,България,BG,2019-09-16,2019-09-16,
