#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:112:2:1001,1001,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1001,Baranovichi,BY001001,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1002,1002,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1002,Bereza,BY001002,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1003,1003,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1003,Brest,BY001003,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1004,1004,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1004,Drogichin,BY001004,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1005,1005,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1005,Gancevichi,BY001005,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1006,1006,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1006,Ivacevichi,BY001006,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1007,1007,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1007,Ivanovo,BY001007,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1008,1008,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1008,Kamenec,BY001008,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1009,1009,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1009,Kobrin,BY001009,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1010,1010,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1010,Ljahovichi,BY001010,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1011,1011,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1011,Luninec,BY001011,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1012,1012,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1012,Malorita,BY001012,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1013,1013,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1013,Pinsk,BY001013,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1014,1014,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1014,Pruzhany,BY001014,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1015,1015,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1015,Stolin,BY001015,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:1016,1016,1603:45:16:112:0,1603:45:16:112:1:1,1603:45:16:112:2:1016,Zhabinka,BY001016,,,,Brest,BY001,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2001,2001,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2001,Bragin,BY002001,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2002,2002,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2002,Buda-Koshelevo,BY002002,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2003,2003,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2003,Chechersk,BY002003,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2004,2004,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2004,Dobrush,BY002004,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2005,2005,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2005,Elsk,BY002005,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2006,2006,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2006,Gomel,BY002006,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2007,2007,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2007,Hojniki,BY002007,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2008,2008,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2008,Kalinkovichi,BY002008,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2009,2009,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2009,Korma,BY002009,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2010,2010,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2010,Lelchitsy,BY002010,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2011,2011,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2011,Loev,BY002011,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2012,2012,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2012,Mozyr,BY002012,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2013,2013,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2013,Narovlja,BY002013,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2014,2014,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2014,Oktjabrsky,BY002014,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2015,2015,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2015,Petrikov,BY002015,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2016,2016,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2016,Rechitsa,BY002016,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2017,2017,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2017,Rogachev,BY002017,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2018,2018,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2018,Svetlogorsk,BY002018,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2019,2019,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2019,Vetka,BY002019,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2020,2020,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2020,Zhitkovichi,BY002020,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:2021,2021,1603:45:16:112:0,1603:45:16:112:1:2,1603:45:16:112:2:2021,Zhlobin,BY002021,,,,Gomel,BY002,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3001,3001,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3001,Berestovica,BY003001,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3002,3002,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3002,Djatlovo,BY003002,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3003,3003,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3003,Grodno,BY003003,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3004,3004,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3004,Ive,BY003004,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3005,3005,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3005,Korelichi,BY003005,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3006,3006,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3006,Lida,BY003006,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3007,3007,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3007,Mosty,BY003007,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3008,3008,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3008,Novogrudok,BY003008,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3009,3009,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3009,Oshmjany,BY003009,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3010,3010,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3010,Ostrovec,BY003010,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3011,3011,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3011,Schuchin,BY003011,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3012,3012,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3012,Slonim,BY003012,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3013,3013,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3013,Smorgon,BY003013,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3014,3014,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3014,Svisloch,BY003014,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3015,3015,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3015,Volkovysk,BY003015,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3016,3016,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3016,Voronovo,BY003016,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:3017,3017,1603:45:16:112:0,1603:45:16:112:1:3,1603:45:16:112:2:3017,Zel'va,BY003017,,,,Grodno,BY003,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4001,4001,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4001,Berezino,BY004001,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4002,4002,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4002,Borisov,BY004002,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4003,4003,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4003,Cherven,BY004003,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4004,4004,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4004,Dzerzhinsk,BY004004,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4005,4005,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4005,Kletsk,BY004005,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4006,4006,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4006,Kopyl,BY004006,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4007,4007,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4007,Krupki,BY004007,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4008,4008,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4008,Logojsk,BY004008,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4009,4009,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4009,Lyuban,BY004009,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4010,4010,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4010,Minsk,BY004010,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4011,4011,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4011,Mjadel,BY004011,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4012,4012,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4012,Molodechno,BY004012,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4013,4013,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4013,Nesvizh,BY004013,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4014,4014,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4014,Puhovichi,BY004014,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4015,4015,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4015,Slutsk,BY004015,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4016,4016,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4016,Smolevichi,BY004016,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4017,4017,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4017,Soligorsk,BY004017,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4018,4018,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4018,St.Dorogi,BY004018,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4019,4019,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4019,Stolbtsy,BY004019,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4020,4020,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4020,Uzda,BY004020,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4021,4021,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4021,Vilejka,BY004021,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:4022,4022,1603:45:16:112:0,1603:45:16:112:1:4,1603:45:16:112:2:4022,Volozhin,BY004022,,,,Minsk,BY004,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:5001,5001,1603:45:16:112:0,1603:45:16:112:1:5,1603:45:16:112:2:5001,Minsk City,BY005001,,,,Minsk City,BY005,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6001,6001,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6001,Belynichi,BY006001,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6002,6002,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6002,Bobrujsk,BY006002,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6003,6003,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6003,Byhov,BY006003,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6004,6004,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6004,Chausy,BY006004,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6005,6005,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6005,Cherikov,BY006005,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6006,6006,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6006,Dribin,BY006006,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6007,6007,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6007,Glusk,BY006007,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6008,6008,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6008,Gorki,BY006008,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6009,6009,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6009,Hotimsk,BY006009,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6010,6010,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6010,Kirovsk,BY006010,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6011,6011,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6011,Klichev,BY006011,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6012,6012,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6012,Klimovichi,BY006012,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6013,6013,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6013,Kostyukovichi,BY006013,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6014,6014,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6014,Krasnopole,BY006014,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6015,6015,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6015,Krichev,BY006015,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6016,6016,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6016,Krugloe,BY006016,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6017,6017,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6017,Mogilev,BY006017,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6018,6018,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6018,Mstislav,BY006018,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6019,6019,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6019,Osipovichi,BY006019,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6020,6020,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6020,Shklov,BY006020,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:6021,6021,1603:45:16:112:0,1603:45:16:112:1:6,1603:45:16:112:2:6021,Slavgorod,BY006021,,,,Mogilev,BY006,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:7001,7001,1603:45:16:112:0,1603:45:16:112:1:7,1603:45:16:112:2:7001,Beshenkovichi,BY007001,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
1603:45:16:112:2:7002,7002,1603:45:16:112:0,1603:45:16:112:1:7,1603:45:16:112:2:7002,Braslav,BY007002,,,,Vitebsk,BY007,Belarus,BY,2019-07-30,2019-07-31,
