qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:12:1:1,1,1603:45:16:12:0,1603:45:16:12:1:1,Adrar,أدرا,DZ001,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:2,2,1603:45:16:12:0,1603:45:16:12:1:2,Ain-Defla,عين الدفلى,DZ002,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:3,3,1603:45:16:12:0,1603:45:16:12:1:3,Ain-Temouchent,عين تموشنت,DZ003,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:4,4,1603:45:16:12:0,1603:45:16:12:1:4,Alger,الجزائر,DZ004,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:5,5,1603:45:16:12:0,1603:45:16:12:1:5,Annaba,عنابة,DZ005,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:6,6,1603:45:16:12:0,1603:45:16:12:1:6,Batna,باتنة,DZ006,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:7,7,1603:45:16:12:0,1603:45:16:12:1:7,Bechar,بشار,DZ007,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:8,8,1603:45:16:12:0,1603:45:16:12:1:8,Bejaia,بجاية,DZ008,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:9,9,1603:45:16:12:0,1603:45:16:12:1:9,Biskra,بسكرة,DZ009,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:10,10,1603:45:16:12:0,1603:45:16:12:1:10,Blida,البليدة,DZ010,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:11,11,1603:45:16:12:0,1603:45:16:12:1:11,Bordj Bou Arrer,برج بوعريريج,DZ011,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:12,12,1603:45:16:12:0,1603:45:16:12:1:12,Bouira,البويرة,DZ012,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:13,13,1603:45:16:12:0,1603:45:16:12:1:13,Boumerdes,بومرداس,DZ013,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:14,14,1603:45:16:12:0,1603:45:16:12:1:14,Chlef,الشلف,DZ014,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:15,15,1603:45:16:12:0,1603:45:16:12:1:15,Constantine,قسنطينة,DZ015,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:16,16,1603:45:16:12:0,1603:45:16:12:1:16,Djelfa,الجلفة,DZ016,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:17,17,1603:45:16:12:0,1603:45:16:12:1:17,El Bayadh,البيض,DZ017,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:18,18,1603:45:16:12:0,1603:45:16:12:1:18,El Oued,الوادي,DZ018,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
1603:45:16:12:1:19,19,1603:45:16:12:0,1603:45:16:12:1:19,El-Tarf,الطارف,DZ019,Algeria,الجزا,DZ,2020-04-28,2021-01-26,
