#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_por+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_por+is_latn,#adm2+name+alt2+i_por+is_latn,#adm1+name+i_por+is_latn,#adm1+code+v_pcode,#country+name+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:132:2:101,101,Santa Isabel,CV0101,,,,Boa Vista,CV01,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:102,102,Sao Joao Baptista,CV0102,,,,Boa Vista,CV01,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:201,201,Nossa Senhora Do Monte,CV0201,,,,Brava,CV02,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:202,202,Sao Joao Baptista,CV0202,,,,Brava,CV02,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:301,301,Nossa Senhora Da Luz,CV0301,,,,Maio,CV03,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:401,401,Nossa Senhora Da Ajuda,CV0401,,,,Mosteiros,CV04,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:501,501,Santo Antonio Das Pombas,CV0501,,,,Paul,CV05,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:601,601,Santo Andre,CV0601,,,,Porto Novo,CV06,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:602,602,Sao Joao Baptista,CV0602,,,,Porto Novo,CV06,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:701,701,Nossa Senhora Da Graca,CV0701,,,,Praia,CV07,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:801,801,Nossa Senhora Da Lapa,CV0801,,,,Ribeira Brava,CV08,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:802,802,Nossa Senhora Do Rosario,CV0802,,,,Ribeira Brava,CV08,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:901,901,Nossa Senhora Do Livramento,CV0901,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:902,902,Nossa Senhora Do Rosario,CV0902,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:903,903,Santo Crucifixo,CV0903,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:904,904,Sao Pedro Apostolo,CV0904,,,,Ribeira Grande,CV09,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1001,1001,Santissimo Nome De Jesus,CV1001,,,,Ribeira Grande de Santiago,CV10,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1003,1003,Sao Joao Baptista,CV1003,,,,Ribeira Grande de Santiago,CV10,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1101,1101,Nossa Senhora Das Dores,CV1101,,,,Sal,CV11,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1201,1201,Santa Catarina,CV1201,,,,Santa Catarina,CV12,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1301,1301,Santa Catarina Do Fogo,CV1301,,,,Santa Catarina Do Fogo,CV13,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1401,1401,Santiago Maior,CV1401,,,,Santa Cruz,CV14,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1501,1501,Nossa Senhora Da Luz,CV1501,,,,Sao Domingos,CV15,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1502,1502,Sao Nicolau Tolentino,CV1502,,,,Sao Domingos,CV15,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1601,1601,Nossa Senhora Da Conceicao,CV1601,,,,Sao Filipe,CV16,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1602,1602,Sao Lourenco,CV1602,,,,Sao Filipe,CV16,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1701,1701,Sao Lourenco Dos Orgaos,CV1701,,,,Sao Lourenco Dos Orgaos,CV17,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1801,1801,Sao Miguel Arcanjo,CV1801,,,,Sao Miguel,CV18,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:1901,1901,Sao Salvador Do Mundo,CV1901,,,,Sao Salvador Do Mundo,CV19,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:2001,2001,Nossa Senhora Da Luz,CV2001,,,,Sao Vicente,CV20,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:2101,2101,Santo Amaro Abade,CV2101,,,,Tarrafal,CV21,Cabo Verde,CV,2017-12-27,2022-03-24,
1603:45:16:132:2:2201,2201,Sao Francisco De Assis,CV2201,,,,Tarrafal De Sao Nicolau,CV22,Cabo Verde,CV,2017-12-27,2022-03-24,
