#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:152:1:1,1,1603:45:16:152:0,1603:45:16:152:1:1,Región de Tarapacá,CL01,Region de Tarapaca,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:2,2,1603:45:16:152:0,1603:45:16:152:1:2,Región de Antofagasta,CL02,Region de Antofagasta,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:3,3,1603:45:16:152:0,1603:45:16:152:1:3,Región de Atacama,CL03,Region de Atacama,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:4,4,1603:45:16:152:0,1603:45:16:152:1:4,Región de Coquimbo,CL04,Region de Coquimbo,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:5,5,1603:45:16:152:0,1603:45:16:152:1:5,Región de Valparaíso,CL05,Region de Valparaiso,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:6,6,1603:45:16:152:0,1603:45:16:152:1:6,Región del Libertador Bernardo O'Higgins,CL06,Region del Libertador Bernardo O Higgins,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:7,7,1603:45:16:152:0,1603:45:16:152:1:7,Región del Maule,CL07,Region del Maule,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:8,8,1603:45:16:152:0,1603:45:16:152:1:8,Región del Bío-Bío,CL08,Region del Bio-Bio,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:9,9,1603:45:16:152:0,1603:45:16:152:1:9,Región de La Araucanía,CL09,Region de La Araucania,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:10,10,1603:45:16:152:0,1603:45:16:152:1:10,Región de Los Lagos,CL10,Region de Los Lagos,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:11,11,1603:45:16:152:0,1603:45:16:152:1:11,Región de Aysén del Gral. Ibañez del Campo,CL11,Region de Aysen del Gral. Ibanez del Campo,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:12,12,1603:45:16:152:0,1603:45:16:152:1:12,Región de Magallanes y Antártica Chilena,CL12,Region de Magallanes y Antartica Chilena,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:13,13,1603:45:16:152:0,1603:45:16:152:1:13,Región Metropolitana de Santiago,CL13,Region Metropolitana de Santiago,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:14,14,1603:45:16:152:0,1603:45:16:152:1:14,Región de Los Ríos,CL14,Region de Los Rios,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:15,15,1603:45:16:152:0,1603:45:16:152:1:15,Región de Arica y Parinacota,CL15,Region de Arica y Parinacota,,,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:1:16,16,1603:45:16:152:0,1603:45:16:152:1:16,Región de Ñuble,CL16,Region de Nuble,,,Chile,CL,2021-08-03,2021-11-13,
