#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:152:2:11,11,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:11,Iquique,CL011,,,,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:14,14,1603:45:16:152:0,1603:45:16:152:1:1,1603:45:16:152:2:14,Tamarugal,CL014,,,,Región de Tarapacá,CL01,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:21,21,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:21,Antofagasta,CL021,,,,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:22,22,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:22,El Loa,CL022,,,,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:23,23,1603:45:16:152:0,1603:45:16:152:1:2,1603:45:16:152:2:23,Tocopilla,CL023,,,,Región de Antofagasta,CL02,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:31,31,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:31,Copiapó,CL031,Copiapo,,,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:32,32,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:32,Chañaral,CL032,Chanaral,,,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:33,33,1603:45:16:152:0,1603:45:16:152:1:3,1603:45:16:152:2:33,Huasco,CL033,,,,Región de Atacama,CL03,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:41,41,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:41,Elqui,CL041,,,,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:42,42,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:42,Choapa,CL042,,,,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:43,43,1603:45:16:152:0,1603:45:16:152:1:4,1603:45:16:152:2:43,Limarí,CL043,Limari,,,Región de Coquimbo,CL04,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:51,51,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:51,Valparaíso,CL051,Valparaiso,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:52,52,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:52,Isla de Pascua,CL052,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:53,53,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:53,Los Andes,CL053,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:54,54,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:54,Petorca,CL054,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:55,55,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:55,Quillota,CL055,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:56,56,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:56,San Antonio,CL056,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:57,57,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:57,San Felipe,CL057,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:58,58,1603:45:16:152:0,1603:45:16:152:1:5,1603:45:16:152:2:58,Marga Marga,CL058,,,,Región de Valparaíso,CL05,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:61,61,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,Cachapoal,CL061,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:62,62,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:62,Cardenal Caro,CL062,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:63,63,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,Colchagua,CL063,,,,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:71,71,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,Talca,CL071,,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:72,72,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:72,Cauquenes,CL072,,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:73,73,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,Curicó,CL073,Curico,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:74,74,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,Linares,CL074,,,,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:2:81,81,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,Concepción,CL081,Concepcion,,,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
