#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:180:1:10,10,1603:45:16:180:0,1603:45:16:180:1:10,Kinshasa,CD10,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:20,20,1603:45:16:180:0,1603:45:16:180:1:20,Kongo-Central,CD20,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:31,31,1603:45:16:180:0,1603:45:16:180:1:31,Kwango,CD31,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:32,32,1603:45:16:180:0,1603:45:16:180:1:32,Kwilu,CD32,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:33,33,1603:45:16:180:0,1603:45:16:180:1:33,Maï-Ndombe,CD33,Mai-Ndombe,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:41,41,1603:45:16:180:0,1603:45:16:180:1:41,Equateur,CD41,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:42,42,1603:45:16:180:0,1603:45:16:180:1:42,Sud-Ubangi,CD42,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:43,43,1603:45:16:180:0,1603:45:16:180:1:43,Nord-Ubangi,CD43,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:44,44,1603:45:16:180:0,1603:45:16:180:1:44,Mongala,CD44,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:45,45,1603:45:16:180:0,1603:45:16:180:1:45,Tshuapa,CD45,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:51,51,1603:45:16:180:0,1603:45:16:180:1:51,Tshopo,CD51,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:52,52,1603:45:16:180:0,1603:45:16:180:1:52,Bas-Uele,CD52,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:53,53,1603:45:16:180:0,1603:45:16:180:1:53,Haut-Uele,CD53,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:54,54,1603:45:16:180:0,1603:45:16:180:1:54,Ituri,CD54,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:61,61,1603:45:16:180:0,1603:45:16:180:1:61,Nord-Kivu,CD61,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:62,62,1603:45:16:180:0,1603:45:16:180:1:62,Sud-Kivu,CD62,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:63,63,1603:45:16:180:0,1603:45:16:180:1:63,Maniema,CD63,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:71,71,1603:45:16:180:0,1603:45:16:180:1:71,Haut-Katanga,CD71,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:72,72,1603:45:16:180:0,1603:45:16:180:1:72,Lualaba,CD72,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:73,73,1603:45:16:180:0,1603:45:16:180:1:73,Haut-Lomami,CD73,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:74,74,1603:45:16:180:0,1603:45:16:180:1:74,Tanganyika,CD74,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:81,81,1603:45:16:180:0,1603:45:16:180:1:81,Lomami,CD81,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:82,82,1603:45:16:180:0,1603:45:16:180:1:82,Kasaï-Oriental,CD82,Kasai-Oriental,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:83,83,1603:45:16:180:0,1603:45:16:180:1:83,Sankuru,CD83,,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:91,91,1603:45:16:180:0,1603:45:16:180:1:91,Kasaï-Central,CD91,Kasai-Central,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:1:92,92,1603:45:16:180:0,1603:45:16:180:1:92,Kasaï,CD92,Kasai,,,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
