#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:231:1:1,1,Tigray,ET01,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:2,2,Afar,ET02,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:3,3,Amhara,ET03,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:4,4,Oromia,ET04,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:5,5,Somali,ET05,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:6,6,Benishangul Gumz,ET06,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:7,7,SNNP,ET07,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:11,11,South West Ethiopia,ET11,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:12,12,Gambela,ET12,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:13,13,Harari,ET13,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:14,14,Addis Ababa,ET14,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:15,15,Dire Dawa,ET15,,,,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:1:16,16,Sidama,ET16,,,,Ethiopia,ET,2020-10-13,2021-12-16,
