#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:231:3:10101,10101,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10101,Tahtay Adiyabo,ET010101,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10102,10102,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10102,Laelay Adiabo,ET010102,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10103,10103,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10103,Zana,ET010103,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10104,10104,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10104,Tahtay Koraro,ET010104,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10105,10105,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10105,Asgede,ET010105,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10106,10106,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10106,Tselemti,ET010106,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10107,10107,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10107,Sheraro town,ET010107,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10108,10108,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10108,Indasilassie town,ET010108,,Shire town,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10109,10109,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10109,Selekleka,ET010109,,Laelay Koraro,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10110,10110,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10110,Seyemti Adyabo,ET010110,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10111,10111,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10111,Adi Daero,ET010111,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10112,10112,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10112,Adi Hageray,ET010112,,Maekel Adiyabo,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10113,10113,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10113,Tsimbla,ET010113,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10114,10114,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10114,Endabaguna town,ET010114,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10115,10115,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10115,Dima (TG),ET010115,,Laelay Tselemti,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10116,10116,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:101,1603:45:16:231:3:10116,May Tsebri town,ET010116,,,,North Western,ET0101,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
