qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:324:2:1001,1001,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1002,1002,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1003,1003,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1004,1004,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,Koundara,GN001004,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1005,1005,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1005,Fria,GN001005,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:2001,2001,1603:45:16:324:0,1603:45:16:324:1:2,1603:45:16:324:2:2001,Conakry,GN002001,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3001,3001,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,Dabola,GN003001,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3002,3002,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,Dinguiraye,GN003002,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3003,3003,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,Faranah,GN003003,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3004,3004,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,Kissidougou,GN003004,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4001,4001,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,Kankan,GN004001,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4002,4002,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,Kerouane,GN004002,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4003,4003,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,Kouroussa,GN004003,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4004,4004,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,Mandiana,GN004004,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4005,4005,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,Siguiri,GN004005,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5001,5001,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5001,Coyah,GN005001,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5002,5002,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,Dubreka,GN005002,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5003,5003,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,Forecariah,GN005003,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5004,5004,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,Kindia,GN005004,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5005,5005,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,Telimele,GN005005,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6001,6001,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,Koubia,GN006001,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6002,6002,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6002,Labe,GN006002,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6003,6003,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6003,Lelouma,GN006003,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6004,6004,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6004,Mali,GN006004,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6005,6005,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6005,Tougue,GN006005,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:7001,7001,1603:45:16:324:0,1603:45:16:324:1:7,1603:45:16:324:2:7001,Dalaba,GN007001,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:7002,7002,1603:45:16:324:0,1603:45:16:324:1:7,1603:45:16:324:2:7002,Mamou,GN007002,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:7003,7003,1603:45:16:324:0,1603:45:16:324:1:7,1603:45:16:324:2:7003,Pita,GN007003,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:8001,8001,1603:45:16:324:0,1603:45:16:324:1:8,1603:45:16:324:2:8001,Beyla,GN008001,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:8002,8002,1603:45:16:324:0,1603:45:16:324:1:8,1603:45:16:324:2:8002,Gueckedou,GN008002,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:8003,8003,1603:45:16:324:0,1603:45:16:324:1:8,1603:45:16:324:2:8003,Lola,GN008003,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:8004,8004,1603:45:16:324:0,1603:45:16:324:1:8,1603:45:16:324:2:8004,Macenta,GN008004,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:8005,8005,1603:45:16:324:0,1603:45:16:324:1:8,1603:45:16:324:2:8005,Nzerekore,GN008005,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:8006,8006,1603:45:16:324:0,1603:45:16:324:1:8,1603:45:16:324:2:8006,Yomou,GN008006,Nzerekore,GN008,Guinea,GN,2017-08-03,2021-12-31,
