#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:324:2:1001,1001,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,Boffa,GN001001,Boffa,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1002,1002,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,Boke,GN001002,Boke,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1003,1003,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,Gaoual,GN001003,Gaoual,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1004,1004,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1004,Koundara,GN001004,Koundara,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:1005,1005,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1005,Fria,GN001005,Fria,,,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:2001,2001,1603:45:16:324:0,1603:45:16:324:1:2,1603:45:16:324:2:2001,Conakry,GN002001,Conakry,,,Conakry,GN002,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3001,3001,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3001,Dabola,GN003001,Dabola,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3002,3002,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3002,Dinguiraye,GN003002,Dinguiraye,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3003,3003,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3003,Faranah,GN003003,Faranah,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:3004,3004,1603:45:16:324:0,1603:45:16:324:1:3,1603:45:16:324:2:3004,Kissidougou,GN003004,Kissidougou,,,Faranah,GN003,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4001,4001,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4001,Kankan,GN004001,Kankan,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4002,4002,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4002,Kerouane,GN004002,Kerouane,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4003,4003,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4003,Kouroussa,GN004003,Kouroussa,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4004,4004,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4004,Mandiana,GN004004,Mandiana,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:4005,4005,1603:45:16:324:0,1603:45:16:324:1:4,1603:45:16:324:2:4005,Siguiri,GN004005,Siguiri,,,Kankan,GN004,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5001,5001,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5001,Coyah,GN005001,Coyah,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5002,5002,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5002,Dubreka,GN005002,Dubreka,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5003,5003,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5003,Forecariah,GN005003,Forecariah,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5004,5004,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5004,Kindia,GN005004,Kindia,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:5005,5005,1603:45:16:324:0,1603:45:16:324:1:5,1603:45:16:324:2:5005,Telimele,GN005005,Telimele,,,Kindia,GN005,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6001,6001,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6001,Koubia,GN006001,Koubia,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6002,6002,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6002,Labe,GN006002,Labe,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6003,6003,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6003,Lelouma,GN006003,Lelouma,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6004,6004,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6004,Mali,GN006004,Mali,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:6005,6005,1603:45:16:324:0,1603:45:16:324:1:6,1603:45:16:324:2:6005,Tougue,GN006005,Tougue,,,Labe,GN006,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:7001,7001,1603:45:16:324:0,1603:45:16:324:1:7,1603:45:16:324:2:7001,Dalaba,GN007001,Dalaba,,,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:2:7002,7002,1603:45:16:324:0,1603:45:16:324:1:7,1603:45:16:324:2:7002,Mamou,GN007002,Mamou,,,Mamou,GN007,Guinea,GN,2017-08-03,2021-12-31,
