qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,fra-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:324:3:100101,100101,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100101,Boffa Ctre,GN00100101,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100102,100102,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100102,Douprou,GN00100102,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100103,100103,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100103,Koba Tatema,GN00100103,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100104,100104,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100104,Kolia,GN00100104,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100105,100105,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100105,Lisso,GN00100105,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100106,100106,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100106,Mankountan,GN00100106,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100107,100107,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100107,Tamita,GN00100107,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100108,100108,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1001,1603:45:16:324:3:100108,Tougnifily,GN00100108,Boffa,GN001001,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100201,100201,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100201,Bintimodia,GN00100201,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100202,100202,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100202,Boke Ctre,GN00100202,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100203,100203,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100203,Dabiss,GN00100203,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100204,100204,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100204,Kamsar,GN00100204,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100205,100205,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100205,Kanfarande,GN00100205,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100206,100206,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100206,Kolaboui,GN00100206,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100207,100207,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100207,Malapouya,GN00100207,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100208,100208,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100208,Sangaredi,GN00100208,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100209,100209,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100209,Sansale,GN00100209,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100210,100210,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1002,1603:45:16:324:3:100210,Tanene,GN00100210,Boke,GN001002,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
1603:45:16:324:3:100301,100301,1603:45:16:324:0,1603:45:16:324:1:1,1603:45:16:324:2:1003,1603:45:16:324:3:100301,Foulamory,GN00100301,Gaoual,GN001003,Boke,GN001,Guinea,GN,2017-08-03,2021-12-31,
