#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_hat+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_fra+is_latn,#adm1+name+alt2+i_fra+is_latn,#adm1+name+alt1+i_hat+is_latn,#adm1+name+alt2+i_hat+is_latn,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_hat+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:332:1:1,1,West,Ouest,Lwès,HT01,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:2,2,South-East,Sud-Est,Sidès,HT02,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:3,3,North,Nord,Nò,HT03,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:4,4,North-East,Nord-Est,Nòdès,HT04,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:5,5,Artibonite,Artibonite,Latibonit,HT05,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:6,6,Centre,Centre,Sant,HT06,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:7,7,South,Sud,Sid,HT07,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:8,8,Grande'Anse,Grande'Anse,Grandans,HT08,GrandeAnse,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:9,9,North-West,Nord-Ouest,Nòdwès,HT09,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:10,10,Nippes,Nippes,Nip,HT10,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
