#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#item+rem+i_hat+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_hat+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_hat+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_hat+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:332:1:1,1,1603:45:16:332:0,1603:45:16:332:1:1,West,Ouest,Lwès,HT01,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:2,2,1603:45:16:332:0,1603:45:16:332:1:2,South-East,Sud-Est,Sidès,HT02,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:3,3,1603:45:16:332:0,1603:45:16:332:1:3,North,Nord,Nò,HT03,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:4,4,1603:45:16:332:0,1603:45:16:332:1:4,North-East,Nord-Est,Nòdès,HT04,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:5,5,1603:45:16:332:0,1603:45:16:332:1:5,Artibonite,Artibonite,Latibonit,HT05,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:6,6,1603:45:16:332:0,1603:45:16:332:1:6,Centre,Centre,Sant,HT06,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:7,7,1603:45:16:332:0,1603:45:16:332:1:7,South,Sud,Sid,HT07,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:8,8,1603:45:16:332:0,1603:45:16:332:1:8,Grande'Anse,Grande'Anse,Grandans,HT08,GrandeAnse,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:9,9,1603:45:16:332:0,1603:45:16:332:1:9,North-West,Nord-Ouest,Nòdwès,HT09,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:1:10,10,1603:45:16:332:0,1603:45:16:332:1:10,Nippes,Nippes,Nip,HT10,,,,,,,,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
