qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,fra-Latn-r-pSKOS-pprefLabel-ps5002,hat-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,fra-Latn-r-pSKOS-pprefLabel-ps5001,hat-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,fra-Latn-r-pSKOS-pprefLabel-ps5000,hat-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:332:2:111,111,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:111,Port-au-Prince,Port-au-Prince,,HT0111,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:112,112,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:112,Delmas,Delmas,,HT0112,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:113,113,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:113,Carrefour,Carrefour,,HT0113,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:114,114,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:114,Petion-Ville,Pétion-Ville,,HT0114,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:115,115,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:115,Kenscoff,Kenscoff,,HT0115,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:116,116,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:116,Gressier,Gressier,,HT0116,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:117,117,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:117,Cite Soleil,Cité Soleil,,HT0117,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:118,118,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:118,Tabarre,Tabarre,,HT0118,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:121,121,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:121,Leogane,Léogâne,,HT0121,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
1603:45:16:332:2:122,122,1603:45:16:332:0,1603:45:16:332:1:1,1603:45:16:332:2:122,Petit-Goave,Petit-Goâve,,HT0122,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,2018-12-05,2021-08-18,
