#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:340:2:101,101,La Ceiba,HN0101,La Ceiba,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:102,102,El Porvenir,HN0102,El Porvenir,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:103,103,Esparta,HN0103,Esparta,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:104,104,Jutiapa,HN0104,Jutiapa,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:105,105,La Masica,HN0105,La Masica,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:106,106,San Francisco,HN0106,San Francisco,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:107,107,Tela,HN0107,Tela,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:108,108,Arizona,HN0108,Arizona,,,Atlantida,HN01,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:201,201,Trujillo,HN0201,Trujillo,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:202,202,Balfate,HN0202,Balfate,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:203,203,Iriona,HN0203,Iriona,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:204,204,Limon,HN0204,Limon,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:205,205,Saba,HN0205,Saba,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:206,206,Santa Fe,HN0206,Santa Fe,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:207,207,Santa Rosa de Aguan,HN0207,Santa Rosa de Aguan,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:208,208,Sonaguera,HN0208,Sonaguera,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:209,209,Tocoa,HN0209,Tocoa,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:210,210,Bonito Oriental,HN0210,Bonito Oriental,,,Colon,HN02,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:301,301,Comayagua,HN0301,Comayagua,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:302,302,Ajuterique,HN0302,Ajuterique,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:303,303,El Rosario,HN0303,El Rosario,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:304,304,Esquias,HN0304,Esquias,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:305,305,Humuya,HN0305,Humuya,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:306,306,La Libertad,HN0306,La Libertad,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:307,307,Lamani,HN0307,Lamani,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:308,308,La Trinidad,HN0308,La Trinidad,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:309,309,Lejamani,HN0309,Lejamani,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:310,310,Meambar,HN0310,Meambar,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:311,311,Minas de Oro,HN0311,Minas de Oro,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:312,312,Ojos de Agua,HN0312,Ojos de Agua,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:313,313,San Jerónimo,HN0313,San Jeronimo,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:314,314,San Jose de Comayagua,HN0314,San Jose de Comayagua,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:315,315,San Jose del Potrero,HN0315,San Jose del Potrero,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:316,316,San Luis,HN0316,San Luis,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:317,317,San Sebastian,HN0317,San Sebastian,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:318,318,Siguatepeque,HN0318,Siguatepeque,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:319,319,Villa de San Antonio,HN0319,Villa de San Antonio,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:320,320,Las Lajas,HN0320,Las Lajas,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:321,321,Taulabe,HN0321,Taulabe,,,Comayagua,HN03,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:401,401,Santa Rosa de Copan,HN0401,Santa Rosa de Copan,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:402,402,Cabana,HN0402,Cabana,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:403,403,Concepción,HN0403,Concepcion,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:404,404,Copan Ruinas,HN0404,Copan Ruinas,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:405,405,Corquin,HN0405,Corquin,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:406,406,Cucuyagua,HN0406,Cucuyagua,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:407,407,Dolores,HN0407,Dolores,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:408,408,Dulce Nombre,HN0408,Dulce Nombre,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:409,409,El Paraiso,HN0409,El Paraiso,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:410,410,Florida,HN0410,Florida,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:411,411,La Jigua,HN0411,La Jigua,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:412,412,La Union,HN0412,La Union,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:413,413,Nueva Arcadia,HN0413,Nueva Arcadia,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:414,414,San Agustin,HN0414,San Agustin,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:415,415,San Antonio,HN0415,San Antonio,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:416,416,San Jeronimo,HN0416,San Jeronimo,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:417,417,San Jose,HN0417,San Jose,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:418,418,San Juan de Opoa,HN0418,San Juan de Opoa,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:419,419,San Nicolas,HN0419,San Nicolas,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:420,420,San Pedro,HN0420,San Pedro,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:421,421,Santa Rita,HN0421,Santa Rita,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:422,422,Trinidad de Copan,HN0422,Trinidad de Copan,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:423,423,Veracruz,HN0423,Veracruz,,,Copan,HN04,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:501,501,San Pedro Sula,HN0501,San Pedro Sula,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
1603:45:16:340:2:502,502,Choloma,HN0502,Choloma,,,Cortes,HN05,Honduras,HN,2010-07-01,2020-11-24,
