#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:384:2:101,101,1603:45:16:384:0,1603:45:16:384:1:1,1603:45:16:384:2:101,Abidjan,CI0101,,,,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:201,201,1603:45:16:384:0,1603:45:16:384:1:2,1603:45:16:384:2:201,Attiégouakro,CI0201,Attiegouakro,,,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:202,202,1603:45:16:384:0,1603:45:16:384:1:2,1603:45:16:384:2:202,Yamoussoukro,CI0202,,,,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:301,301,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,Agboville,CI0301,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:302,302,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:302,Sikensi,CI0302,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:303,303,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:303,Taabo,CI0303,,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:304,304,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:304,Tiassalé,CI0304,Tiassale,,,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:401,401,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:401,Koro,CI0401,,,,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:402,402,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:402,Ouaninou,CI0402,,,,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:403,403,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:403,Touba,CI0403,,,,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:501,501,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:501,Boundiali,CI0501,,,,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:502,502,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:502,Kouto,CI0502,,,,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:503,503,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:503,Tengrela,CI0503,,,,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:601,601,1603:45:16:384:0,1603:45:16:384:1:6,1603:45:16:384:2:601,Didievi,CI0601,,,,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:2:602,602,1603:45:16:384:0,1603:45:16:384:1:6,1603:45:16:384:2:602,Djekanou,CI0602,,,,Belier,CI06,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
