#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:384:3:10101,10101,1603:45:16:384:0,1603:45:16:384:1:1,1603:45:16:384:2:101,1603:45:16:384:3:10101,Abidjan,CI010101,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:10102,10102,1603:45:16:384:0,1603:45:16:384:1:1,1603:45:16:384:2:101,1603:45:16:384:3:10102,Anyama,CI010102,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:10103,10103,1603:45:16:384:0,1603:45:16:384:1:1,1603:45:16:384:2:101,1603:45:16:384:3:10103,Bingerville,CI010103,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:10104,10104,1603:45:16:384:0,1603:45:16:384:1:1,1603:45:16:384:2:101,1603:45:16:384:3:10104,Brofodoumé,CI010104,Brofodoume,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:10105,10105,1603:45:16:384:0,1603:45:16:384:1:1,1603:45:16:384:2:101,1603:45:16:384:3:10105,Songon,CI010105,,,,Abidjan,CI0101,District Autonome D'Abidjan,CI01,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:20101,20101,1603:45:16:384:0,1603:45:16:384:1:2,1603:45:16:384:2:201,1603:45:16:384:3:20101,Attiégouakro,CI020101,Attiegouakro,,,Attiégouakro,CI0201,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:20102,20102,1603:45:16:384:0,1603:45:16:384:1:2,1603:45:16:384:2:201,1603:45:16:384:3:20102,Lolobo,CI020102,,,,Attiégouakro,CI0201,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:20201,20201,1603:45:16:384:0,1603:45:16:384:1:2,1603:45:16:384:2:202,1603:45:16:384:3:20201,Yamoussoukro,CI020201,,,,Yamoussoukro,CI0202,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:20202,20202,1603:45:16:384:0,1603:45:16:384:1:2,1603:45:16:384:2:202,1603:45:16:384:3:20202,Kossou,CI020202,,,,Yamoussoukro,CI0202,District Autonome De Yamoussoukro,CI02,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30101,30101,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30101,Aboudé,CI030101,Aboude,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30102,30102,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30102,Agboville,CI030102,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30103,30103,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30103,Ananguié,CI030103,Ananguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30104,30104,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30104,Attobrou,CI030104,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30105,30105,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30105,Azaguié,CI030105,Azaguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30106,30106,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30106,Cechi,CI030106,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30107,30107,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30107,Grand-Morié,CI030107,Grand-Morie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30108,30108,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30108,Guessiguié,CI030108,Guessiguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30109,30109,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30109,Loviguié,CI030109,Loviguie,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30110,30110,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30110,Oress-Krobou,CI030110,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30111,30111,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:301,1603:45:16:384:3:30111,Rubino,CI030111,,,,Agboville,CI0301,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30201,30201,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:302,1603:45:16:384:3:30201,Sikensi,CI030201,,,,Sikensi,CI0302,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30202,30202,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:302,1603:45:16:384:3:30202,Gomon,CI030202,,,,Sikensi,CI0302,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30301,30301,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:303,1603:45:16:384:3:30301,Taabo,CI030301,,,,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30302,30302,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:303,1603:45:16:384:3:30302,Pacobo,CI030302,,,,Taabo,CI0303,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30401,30401,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:304,1603:45:16:384:3:30401,Tiassalé,CI030401,Tiassale,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30402,30402,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:304,1603:45:16:384:3:30402,Gbolouville,CI030402,,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30403,30403,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:304,1603:45:16:384:3:30403,Morokro,CI030403,,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:30404,30404,1603:45:16:384:0,1603:45:16:384:1:3,1603:45:16:384:2:304,1603:45:16:384:3:30404,N'Douci,CI030404,NDouci,,,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40101,40101,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:401,1603:45:16:384:3:40101,Koro,CI040101,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40102,40102,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:401,1603:45:16:384:3:40102,Booko,CI040102,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40103,40103,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:401,1603:45:16:384:3:40103,Borotou,CI040103,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40104,40104,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:401,1603:45:16:384:3:40104,Mahandougou,CI040104,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40105,40105,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:401,1603:45:16:384:3:40105,Niokosso,CI040105,,,,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40201,40201,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:402,1603:45:16:384:3:40201,Ouaninou,CI040201,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40202,40202,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:402,1603:45:16:384:3:40202,Gbèlo,CI040202,Gbelo,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40203,40203,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:402,1603:45:16:384:3:40203,Gouékan,CI040203,Gouekan,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40204,40204,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:402,1603:45:16:384:3:40204,Koonan,CI040204,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40205,40205,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:402,1603:45:16:384:3:40205,Saboudougou,CI040205,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40206,40206,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:402,1603:45:16:384:3:40206,Santa,CI040206,,,,Ouaninou,CI0402,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40301,40301,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:403,1603:45:16:384:3:40301,Touba,CI040301,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40302,40302,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:403,1603:45:16:384:3:40302,Dioman,CI040302,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40303,40303,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:403,1603:45:16:384:3:40303,Foungbesso,CI040303,,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:40304,40304,1603:45:16:384:0,1603:45:16:384:1:4,1603:45:16:384:2:403,1603:45:16:384:3:40304,Guintéguéla,CI040304,Guinteguela,,,Touba,CI0403,Bafing,CI04,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50101,50101,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:501,1603:45:16:384:3:50101,Baya,CI050101,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50102,50102,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:501,1603:45:16:384:3:50102,Boundiali,CI050102,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50103,50103,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:501,1603:45:16:384:3:50103,Ganaoni,CI050103,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50104,50104,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:501,1603:45:16:384:3:50104,Kasséré,CI050104,Kassere,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50105,50105,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:501,1603:45:16:384:3:50105,Siempurgo,CI050105,,,,Boundiali,CI0501,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50201,50201,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:502,1603:45:16:384:3:50201,Kouto,CI050201,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50202,50202,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:502,1603:45:16:384:3:50202,Blességué,CI050202,Blessegue,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50203,50203,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:502,1603:45:16:384:3:50203,Gbon,CI050203,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50204,50204,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:502,1603:45:16:384:3:50204,Kolia,CI050204,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50205,50205,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:502,1603:45:16:384:3:50205,Sianhala,CI050205,,,,Kouto,CI0502,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50301,50301,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:503,1603:45:16:384:3:50301,Tengrela,CI050301,,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
1603:45:16:384:3:50302,50302,1603:45:16:384:0,1603:45:16:384:1:5,1603:45:16:384:2:503,1603:45:16:384:3:50302,Débété,CI050302,Debete,,,Tengrela,CI0503,Bagoue,CI05,Côte d'Ivoire,CI,2018-08-06,2022-03-29,
