qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,lao-Laoo-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,lao-Laoo-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:418:1:1,1,1603:45:16:418:0,1603:45:16:418:1:1,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:2,2,1603:45:16:418:0,1603:45:16:418:1:2,Phongsaly,ຜົ້ງສາລີ,LA02,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:3,3,1603:45:16:418:0,1603:45:16:418:1:3,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:4,4,1603:45:16:418:0,1603:45:16:418:1:4,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:5,5,1603:45:16:418:0,1603:45:16:418:1:5,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:6,6,1603:45:16:418:0,1603:45:16:418:1:6,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:7,7,1603:45:16:418:0,1603:45:16:418:1:7,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:8,8,1603:45:16:418:0,1603:45:16:418:1:8,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:9,9,1603:45:16:418:0,1603:45:16:418:1:9,Xiengkhouang,ຊຽງຂວາງ,LA09,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:10,10,1603:45:16:418:0,1603:45:16:418:1:10,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:11,11,1603:45:16:418:0,1603:45:16:418:1:11,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:12,12,1603:45:16:418:0,1603:45:16:418:1:12,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:13,13,1603:45:16:418:0,1603:45:16:418:1:13,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:14,14,1603:45:16:418:0,1603:45:16:418:1:14,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:15,15,1603:45:16:418:0,1603:45:16:418:1:15,Sekong,ເຊກອງ,LA15,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:16,16,1603:45:16:418:0,1603:45:16:418:1:16,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:17,17,1603:45:16:418:0,1603:45:16:418:1:17,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
1603:45:16:418:1:18,18,1603:45:16:418:0,1603:45:16:418:1:18,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,2016-03-26,2019-11-27,
