qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,eng-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:462:3:1001001,1001001,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001001,Thurakunu,MV001001001,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001002,1001002,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001002,Uligamu,MV001001002,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001003,1001003,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001003,Berinmadhoo,MV001001003,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001004,1001004,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001004,Hathifushi,MV001001004,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001005,1001005,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001005,Mulhadhoo,MV001001005,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001006,1001006,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001006,Hoarafushi,MV001001006,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001007,1001007,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001007,Ihavandhoo,MV001001007,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001008,1001008,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001008,Kelaa,MV001001008,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001009,1001009,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001009,Vashafaru,MV001001009,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001010,1001010,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001010,Dhidhdhoo,MV001001010,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001011,1001011,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001011,Filladhoo,MV001001011,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001012,1001012,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001012,Maarandhoo,MV001001012,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001013,1001013,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001013,Thakandhoo,MV001001013,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001014,1001014,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001014,Utheemu,MV001001014,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001015,1001015,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001015,Muraidhoo,MV001001015,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001016,1001016,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001016,Baarah,MV001001016,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1001017,1001017,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1001,1603:45:16:462:3:1001017,Maafahi,MV001001017,Haa Alif Atoll,MV001001,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002001,1002001,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002001,Faridhoo,MV001002001,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002002,1002002,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002002,Hondaidhoo,MV001002002,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002003,1002003,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002003,Hanimaadhoo,MV001002003,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002004,1002004,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002004,Finey,MV001002004,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002005,1002005,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002005,Naivaadhoo,MV001002005,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002006,1002006,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002006,Hirimaradhoo,MV001002006,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002007,1002007,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002007,Nolhivaramfaru,MV001002007,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002008,1002008,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002008,Nellaidhoo,MV001002008,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002009,1002009,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002009,Nolhivaram,MV001002009,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002010,1002010,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002010,Kuribi,MV001002010,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002011,1002011,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002011,Kuburudhoo,MV001002011,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002012,1002012,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002012,Kulhudhuffushi,MV001002012,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002013,1002013,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002013,Kumundhoo,MV001002013,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002014,1002014,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002014,Neykurendhoo,MV001002014,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002015,1002015,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002015,Vaikaradhoo,MV001002015,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002016,1002016,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002016,Maavaidhoo,MV001002016,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1002017,1002017,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1002,1603:45:16:462:3:1002017,Makunudhoo,MV001002017,Haa Dhaal Atoll,MV001002,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003001,1003001,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003001,Kaditheemu,MV001003001,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003002,1003002,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003002,Noomaraa,MV001003002,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003003,1003003,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003003,Goidhoo,MV001003003,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003004,1003004,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003004,Feydhoo,MV001003004,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003005,1003005,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003005,Feevah,MV001003005,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003006,1003006,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003006,Bilehffahi,MV001003006,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003007,1003007,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003007,Foakaidhoo,MV001003007,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003008,1003008,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003008,Narudhoo,MV001003008,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003009,1003009,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003009,Maakandoodhoo,MV001003009,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003010,1003010,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003010,Maroshi,MV001003010,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003011,1003011,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003011,Lhaimagu,MV001003011,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003012,1003012,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003012,Firubaidhoo,MV001003012,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003013,1003013,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003013,Komandoo,MV001003013,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003014,1003014,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003014,Maaugoodhoo,MV001003014,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:1003015,1003015,1603:45:16:462:0,1603:45:16:462:1:1,1603:45:16:462:2:1003,1603:45:16:462:3:1003015,Funadhoo,MV001003015,Shaviyani Atoll,MV001003,North,MV001,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004001,2004001,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004001,Hebadhoo,MV002004001,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004002,2004002,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004002,Kedhikolhudhoo,MV002004002,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004003,2004003,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004003,Maalhendhoo,MV002004003,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004004,2004004,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004004,Kudafari,MV002004004,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004005,2004005,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004005,Landhoo,MV002004005,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
1603:45:16:462:3:2004006,2004006,1603:45:16:462:0,1603:45:16:462:1:2,1603:45:16:462:2:2004,1603:45:16:462:3:2004006,Maafaru,MV002004006,Noonu Atoll,MV002004,North Central,MV002,Maldives,MV,2010-01-01,2021-03-31,
