#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:480:1:11,11,1603:45:16:480:0,1603:45:16:480:1:11,Port Louis,MU11,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:12,12,1603:45:16:480:0,1603:45:16:480:1:12,Pamplemousses,MU12,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:13,13,1603:45:16:480:0,1603:45:16:480:1:13,Riviere du Rempart,MU13,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:14,14,1603:45:16:480:0,1603:45:16:480:1:14,Flacq,MU14,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:15,15,1603:45:16:480:0,1603:45:16:480:1:15,Grand Port,MU15,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:16,16,1603:45:16:480:0,1603:45:16:480:1:16,Savanne,MU16,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:17,17,1603:45:16:480:0,1603:45:16:480:1:17,Plaine Wilhems,MU17,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:18,18,1603:45:16:480:0,1603:45:16:480:1:18,Moka,MU18,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:19,19,1603:45:16:480:0,1603:45:16:480:1:19,Black River,MU19,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:21,21,1603:45:16:480:0,1603:45:16:480:1:21,Rodriguez Island,MU21,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:22,22,1603:45:16:480:0,1603:45:16:480:1:22,North Islands,MU22,,,,Mauritius,MU,2020-08-09,2021-09-28,
1603:45:16:480:1:23,23,1603:45:16:480:0,1603:45:16:480:1:23,Saint Brandon Islands,MU23,,,,Mauritius,MU,2020-08-09,2021-09-28,
