#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:496:1:11,11,1603:45:16:496:0,1603:45:16:496:1:11,Ulaanbaatar,Улаанбаатар,MN11,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:21,21,1603:45:16:496:0,1603:45:16:496:1:21,Dornod,Дорнод,MN21,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:22,22,1603:45:16:496:0,1603:45:16:496:1:22,Sukhbaatar,Сүхбаатар,MN22,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:23,23,1603:45:16:496:0,1603:45:16:496:1:23,Hentii,Хэнтий,MN23,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:41,41,1603:45:16:496:0,1603:45:16:496:1:41,To'v,Төв,MN41,Tov,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:42,42,1603:45:16:496:0,1603:45:16:496:1:42,Govisumber,Говьсүмбэр,MN42,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:43,43,1603:45:16:496:0,1603:45:16:496:1:43,Selenge,Сэлэнгэ,MN43,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:44,44,1603:45:16:496:0,1603:45:16:496:1:44,Dornogovi,Дорноговь,MN44,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:45,45,1603:45:16:496:0,1603:45:16:496:1:45,Darkhan-Uul,Дархан-Уул,MN45,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:46,46,1603:45:16:496:0,1603:45:16:496:1:46,Omnogovi,Өмнөговь,MN46,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:48,48,1603:45:16:496:0,1603:45:16:496:1:48,Dundgovi,Дундговь,MN48,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:61,61,1603:45:16:496:0,1603:45:16:496:1:61,Orkhon,Орхон,MN61,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:62,62,1603:45:16:496:0,1603:45:16:496:1:62,Ovorkhangai,Өвөрхангай,MN62,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:63,63,1603:45:16:496:0,1603:45:16:496:1:63,Bulgan,Булган,MN63,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:64,64,1603:45:16:496:0,1603:45:16:496:1:64,Bayankhongor,Баянхонгор,MN64,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:65,65,1603:45:16:496:0,1603:45:16:496:1:65,Arxangai,Архангай,MN65,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:67,67,1603:45:16:496:0,1603:45:16:496:1:67,Khovsgol,Хөвсгөл,MN67,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:81,81,1603:45:16:496:0,1603:45:16:496:1:81,Zavkhan,Завхан,MN81,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:82,82,1603:45:16:496:0,1603:45:16:496:1:82,Govi-Altai,Говь-Алтай,MN82,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:83,83,1603:45:16:496:0,1603:45:16:496:1:83,Bayan-Olgii,Баян-Өлгий,MN83,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:84,84,1603:45:16:496:0,1603:45:16:496:1:84,Khovd,Ховд,MN84,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:1:85,85,1603:45:16:496:0,1603:45:16:496:1:85,Uvs,Увс,MN85,,,,,,Mongolia,монгол,MN,2020-10-26,2021-02-11,
