qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:50:2:1004,1004,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1006,1006,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1006,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1009,1009,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1009,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1042,1042,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1042,Jhalokati,BD1042,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1078,1078,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1078,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1079,1079,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1079,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2003,2003,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2003,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2012,2012,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2012,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2013,2013,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2013,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2015,2015,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2015,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2019,2019,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2022,2022,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2030,2030,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2030,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2046,2046,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2051,2051,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2051,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2075,2075,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2084,2084,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3026,3026,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3029,3029,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3029,Faridpur,BD3029,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3033,3033,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3033,Gazipur,BD3033,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3035,3035,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3035,Gopalganj,BD3035,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3048,3048,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3048,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3054,3054,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3054,Madaripur,BD3054,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3056,3056,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3056,Manikganj,BD3056,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3059,3059,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3059,Munshiganj,BD3059,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3067,3067,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3067,Narayanganj,BD3067,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3068,3068,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3068,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3082,3082,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3082,Rajbari,BD3082,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3086,3086,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3086,Shariatpur,BD3086,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3093,3093,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3093,Tangail,BD3093,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4001,4001,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4001,Bagerhat,BD4001,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4018,4018,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4018,Chuadanga,BD4018,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4041,4041,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4041,Jessore,BD4041,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4044,4044,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4044,Jhenaidah,BD4044,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4047,4047,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4047,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4050,4050,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4050,Kushtia,BD4050,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4055,4055,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4055,Magura,BD4055,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4057,4057,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4057,Meherpur,BD4057,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:4065,4065,1603:45:16:50:0,1603:45:16:50:1:40,1603:45:16:50:2:4065,Narail,BD4065,Khulna,BD40,Bangladesh,BD,2018-04-25,2020-12-18,
