#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:50:2:1004,1004,Barguna,BD1004,,,,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1006,1006,Barisal,BD1006,,,,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1009,1009,Bhola,BD1009,,,,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1042,1042,Jhalokati,BD1042,,,,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1078,1078,Patuakhali,BD1078,,,,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:1079,1079,Pirojpur,BD1079,,,,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2003,2003,Bandarban,BD2003,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2012,2012,Brahamanbaria,BD2012,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2013,2013,Chandpur,BD2013,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2015,2015,Chittagong,BD2015,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2019,2019,Comilla,BD2019,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2022,2022,Cox's Bazar,BD2022,Coxs Bazar,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2030,2030,Feni,BD2030,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2046,2046,Khagrachhari,BD2046,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2051,2051,Lakshmipur,BD2051,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2075,2075,Noakhali,BD2075,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:2084,2084,Rangamati,BD2084,,,,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3026,3026,Dhaka,BD3026,,,,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3029,3029,Faridpur,BD3029,,,,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:2:3033,3033,Gazipur,BD3033,,,,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
