#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5004+rdf_p_obo_bfo171_s5003+rdf_s_u2200_s5004,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5004,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm4+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:50:4:10040913,10040913,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040913,Amtali,BD10040913,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040915,10040915,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040915,Arpangashia,BD10040915,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040923,10040923,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040923,Atharagashia,BD10040923,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040939,10040939,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040939,Barabagi,BD10040939,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040943,10040943,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040943,Chhota Bagi,BD10040943,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040947,10040947,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040947,Chowra,BD10040947,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040963,10040963,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040963,Gulisakhali,BD10040963,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040971,10040971,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040971,Haldia,BD10040971,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040979,10040979,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040979,Karaibaria,BD10040979,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040987,10040987,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040987,Kukua,BD10040987,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040991,10040991,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040991,Nishanbaria,BD10040991,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040994,10040994,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040994,Pancha Koralia,BD10040994,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040995,10040995,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040995,Sarikkhali,BD10040995,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040996,10040996,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040996,Sonakata,BD10040996,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10040999,10040999,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100409,1603:45:16:50:4:10040999,Paurashava,BD10040999,,,,Amtali,BD100409,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041923,10041923,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041923,Bamna,BD10041923,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041947,10041947,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041947,Bukabunia,BD10041947,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041971,10041971,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041971,Dauatala,BD10041971,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10041995,10041995,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100419,1603:45:16:50:4:10041995,Ramna,BD10041995,,,,Bamna,BD100419,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042817,10042817,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042817,Ayla Patakata,BD10042817,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042819,10042819,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042819,Badarkhali,BD10042819,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042828,10042828,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042828,Barguna,BD10042828,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042838,10042838,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042838,Burir Char,BD10042838,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042847,10042847,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042847,Dhalua,BD10042847,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042857,10042857,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042857,Phuljhury,BD10042857,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042866,10042866,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042866,Gaurichanna,BD10042866,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042876,10042876,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042876,Keorabunia,BD10042876,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042885,10042885,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042885,M.Baliatali,BD10042885,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:4:10042895,10042895,1603:45:16:50:0,1603:45:16:50:1:10,1603:45:16:50:2:1004,1603:45:16:50:3:100428,1603:45:16:50:4:10042895,Naltona,BD10042895,,,,Barguna Sadar,BD100428,Barguna,BD1004,Barisal,BD10,Bangladesh,BD,2018-04-25,2020-12-18,
