qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,por-Latn-r-pSKOS-pprefLabel-ps5001,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,por-Latn-r-pSKOS-pprefLabel-ps5000,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:508:1:1,1,1603:45:16:508:0,1603:45:16:508:1:1,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:2,2,1603:45:16:508:0,1603:45:16:508:1:2,Gaza,,MZ02,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:3,3,1603:45:16:508:0,1603:45:16:508:1:3,Inhambane,,MZ03,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:4,4,1603:45:16:508:0,1603:45:16:508:1:4,Manica,,MZ04,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:5,5,1603:45:16:508:0,1603:45:16:508:1:5,Maputo,,MZ05,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:6,6,1603:45:16:508:0,1603:45:16:508:1:6,Maputo City,,MZ06,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:7,7,1603:45:16:508:0,1603:45:16:508:1:7,Nampula,,MZ07,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:8,8,1603:45:16:508:0,1603:45:16:508:1:8,Niassa,,MZ08,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:9,9,1603:45:16:508:0,1603:45:16:508:1:9,Sofala,,MZ09,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:10,10,1603:45:16:508:0,1603:45:16:508:1:10,Tete,,MZ10,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:11,11,1603:45:16:508:0,1603:45:16:508:1:11,Zambezia,,MZ11,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
