#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_por+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:508:1:1,1,1603:45:16:508:0,1603:45:16:508:1:1,Cabo Delgado,,MZ01,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:2,2,1603:45:16:508:0,1603:45:16:508:1:2,Gaza,,MZ02,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:3,3,1603:45:16:508:0,1603:45:16:508:1:3,Inhambane,,MZ03,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:4,4,1603:45:16:508:0,1603:45:16:508:1:4,Manica,,MZ04,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:5,5,1603:45:16:508:0,1603:45:16:508:1:5,Maputo,,MZ05,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:6,6,1603:45:16:508:0,1603:45:16:508:1:6,Maputo City,,MZ06,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:7,7,1603:45:16:508:0,1603:45:16:508:1:7,Nampula,,MZ07,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:8,8,1603:45:16:508:0,1603:45:16:508:1:8,Niassa,,MZ08,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:9,9,1603:45:16:508:0,1603:45:16:508:1:9,Sofala,,MZ09,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:10,10,1603:45:16:508:0,1603:45:16:508:1:10,Tete,,MZ10,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:1:11,11,1603:45:16:508:0,1603:45:16:508:1:11,Zambezia,,MZ11,,,,,,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
