#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_por+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_por+is_latn,#adm2+name+alt2+i_por+is_latn,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_por+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_por+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:508:2:101,101,Ancuabe,,MZ0101,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:102,102,Balama,,MZ0102,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:103,103,Chiure,,MZ0103,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:104,104,Cidade De Pemba,,MZ0104,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:105,105,Ibo,,MZ0105,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:106,106,Macomia,,MZ0106,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:107,107,Mecufi,,MZ0107,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:108,108,Meluco,,MZ0108,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:109,109,Metuge,,MZ0109,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:110,110,Mocimboa Da Praia,,MZ0110,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:111,111,Montepuez,,MZ0111,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
1603:45:16:508:2:112,112,Mueda,,MZ0112,,,,,,Cabo Delgado,,MZ01,Moçambique,Mozambique,MZ,2019-04-02,2021-03-24,
