#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_hye+is_armn,#adm2+name+i_rus+is_cyrl,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_hye+is_armn,#adm2+name+alt2+i_hye+is_armn,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm1+name+i_eng+is_latn,#adm1+name+i_hye+is_armn,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_hye+is_armn,#country+name+i_rus+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:51:2:11,11,1603:45:16:51:0,1603:45:16:51:1:1,1603:45:16:51:2:11,Yerevan,Երևան,Ереван,AM011,,,,,,,,Yerevan,Երևան,Ереван,AM01,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:21,21,1603:45:16:51:0,1603:45:16:51:1:2,1603:45:16:51:2:21,Ashtarak,Աշտարակ,Аштарак,AM021,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:22,22,1603:45:16:51:0,1603:45:16:51:1:2,1603:45:16:51:2:22,Aparan,Ապարան,Апаран,AM022,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:23,23,1603:45:16:51:0,1603:45:16:51:1:2,1603:45:16:51:2:23,Aragats,Արագած,Арагац,AM023,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:24,24,1603:45:16:51:0,1603:45:16:51:1:2,1603:45:16:51:2:24,Talin,Թալին,Талин,AM024,,,,,,,,Aragatsotn,Արագածոտն,Арагацотнская,AM02,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:31,31,1603:45:16:51:0,1603:45:16:51:1:3,1603:45:16:51:2:31,Ararat,Արարատ,Арарат,AM031,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:32,32,1603:45:16:51:0,1603:45:16:51:1:3,1603:45:16:51:2:32,Artashat,Արտաշատ,Арташат,AM032,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:33,33,1603:45:16:51:0,1603:45:16:51:1:3,1603:45:16:51:2:33,Masis,Մասիս,Масис,AM033,,,,,,,,Ararat,Արարատ,Араратская,AM03,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:41,41,1603:45:16:51:0,1603:45:16:51:1:4,1603:45:16:51:2:41,Armavir,Արմավիր,Армавир,AM041,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:42,42,1603:45:16:51:0,1603:45:16:51:1:4,1603:45:16:51:2:42,Baghramyan,Բաղրամյան,Баграмян,AM042,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:43,43,1603:45:16:51:0,1603:45:16:51:1:4,1603:45:16:51:2:43,Vagharshapat,Վաղարշապատ,Вагаршапат,AM043,,,,,,,,Armavir,Արմավիր,Армавирская,AM04,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:51,51,1603:45:16:51:0,1603:45:16:51:1:5,1603:45:16:51:2:51,Gavar,Գավառ,Гавар,AM051,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:52,52,1603:45:16:51:0,1603:45:16:51:1:5,1603:45:16:51:2:52,Karmir,Կարմիր,Кармир,AM052,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:53,53,1603:45:16:51:0,1603:45:16:51:1:5,1603:45:16:51:2:53,Martuni,Մարտունի,Мартуни,AM053,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:54,54,1603:45:16:51:0,1603:45:16:51:1:5,1603:45:16:51:2:54,Sevan,Սևան,Севан,AM054,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:55,55,1603:45:16:51:0,1603:45:16:51:1:5,1603:45:16:51:2:55,Vardenis,Վարդենիս,Варденис,AM055,,,,,,,,Gegharkunik,Գեղարքունիք,Гехаркуникская,AM05,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
1603:45:16:51:2:61,61,1603:45:16:51:0,1603:45:16:51:1:6,1603:45:16:51:2:61,Gugark,Գուգարք,Гугарк,AM061,,,,,,,,Lori,Լոռի,Лорийская,AM06,Republic of Armenia,Հայաստանի Հանրապետություն,Республика Армения,AM,2014-10-01,2020-09-28,
