#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:52:1:1,1,1603:45:16:52:0,1603:45:16:52:1:1,Christ Church,BB01,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:2,2,1603:45:16:52:0,1603:45:16:52:1:2,Saint Andrew,BB02,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:3,3,1603:45:16:52:0,1603:45:16:52:1:3,Saint George,BB03,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:4,4,1603:45:16:52:0,1603:45:16:52:1:4,Saint James,BB04,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:5,5,1603:45:16:52:0,1603:45:16:52:1:5,Saint John,BB05,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:6,6,1603:45:16:52:0,1603:45:16:52:1:6,Saint Joseph,BB06,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:7,7,1603:45:16:52:0,1603:45:16:52:1:7,Saint Lucy,BB07,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:8,8,1603:45:16:52:0,1603:45:16:52:1:8,Saint Michael,BB08,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:9,9,1603:45:16:52:0,1603:45:16:52:1:9,Saint Peter,BB09,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:10,10,1603:45:16:52:0,1603:45:16:52:1:10,Saint Philip,BB10,,,,Barbados,BB,2017-09-07,2019-11-28,
1603:45:16:52:1:11,11,1603:45:16:52:0,1603:45:16:52:1:11,Saint Thomas,BB11,,,,Barbados,BB,2017-09-07,2019-11-28,
