#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:562:2:1001,1001,Aderbissinat,NE001001,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1002,1002,Arlit,NE001002,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1003,1003,Bilma,NE001003,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1004,1004,Iferouane,NE001004,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1005,1005,Ingall,NE001005,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:1006,1006,Tchirozerine,NE001006,,,,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2001,2001,Bosso,NE002001,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2002,2002,Diffa,NE002002,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2003,2003,Goudoumaria,NE002003,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2004,2004,Maine-Soroa,NE002004,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2005,2005,N'Gourti,NE002005,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:2006,2006,N'Guigmi,NE002006,,,,Diffa,NE002,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3001,3001,Boboye,NE003001,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3002,3002,Dioundiou,NE003002,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:2:3003,3003,Dogondoutchi,NE003003,,,,Dosso,NE003,Niger,NE,2006-01-01,2021-09-29,
