#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_spa+is_latn,#adm1+name+alt2+i_spa+is_latn,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:591:1:1,1,Bocas del Toro,PA01,,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:2,2,Chiriquí,PA02,Chiriqui,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:3,3,Coclé,PA03,Cocle,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:4,4,Colón,PA04,Colon,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:5,5,Darién,PA05,Darien,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:6,6,Emberá,PA06,Embera,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:7,7,Herrera,PA07,,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:8,8,Kuna Yala,PA08,,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:9,9,Los Santos,PA09,,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:10,10,Ngöbe Buglé,PA10,Ngobe Bugle,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:11,11,Panamá Oeste,PA11,Panama Oeste,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:12,12,Panamá,PA12,Panama,,,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:13,13,Veraguas,PA13,,,,Panamá,PA,2020-06-15,2021-10-27,
