qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:591:1:1,1,1603:45:16:591:0,1603:45:16:591:1:1,Bocas del Toro,PA01,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:2,2,1603:45:16:591:0,1603:45:16:591:1:2,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:3,3,1603:45:16:591:0,1603:45:16:591:1:3,Coclé,PA03,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:4,4,1603:45:16:591:0,1603:45:16:591:1:4,Colón,PA04,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:5,5,1603:45:16:591:0,1603:45:16:591:1:5,Darién,PA05,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:6,6,1603:45:16:591:0,1603:45:16:591:1:6,Emberá,PA06,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:7,7,1603:45:16:591:0,1603:45:16:591:1:7,Herrera,PA07,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:8,8,1603:45:16:591:0,1603:45:16:591:1:8,Kuna Yala,PA08,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:9,9,1603:45:16:591:0,1603:45:16:591:1:9,Los Santos,PA09,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:10,10,1603:45:16:591:0,1603:45:16:591:1:10,Ngöbe Buglé,PA10,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:11,11,1603:45:16:591:0,1603:45:16:591:1:11,Panamá Oeste,PA11,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:12,12,1603:45:16:591:0,1603:45:16:591:1:12,Panamá,PA12,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:1:13,13,1603:45:16:591:0,1603:45:16:591:1:13,Veraguas,PA13,Panamá,PA,2020-06-15,2021-10-27,
