#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:60:2:11,11,1603:45:16:60:0,1603:45:16:60:1:1,1603:45:16:60:2:11,Devonshire,BM011,,,,Devonshire,BM01,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:21,21,1603:45:16:60:0,1603:45:16:60:1:2,1603:45:16:60:2:21,Hamilton,BM021,,,,Hamilton,BM02,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:31,31,1603:45:16:60:0,1603:45:16:60:1:3,1603:45:16:60:2:31,Paget,BM031,,,,Paget,BM03,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:41,41,1603:45:16:60:0,1603:45:16:60:1:4,1603:45:16:60:2:41,Pembroke,BM041,,,,Pembroke,BM04,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:42,42,1603:45:16:60:0,1603:45:16:60:1:4,1603:45:16:60:2:42,Hamilton Municipality,BM042,,,,Pembroke,BM04,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:51,51,1603:45:16:60:0,1603:45:16:60:1:5,1603:45:16:60:2:51,Sandys,BM051,,,,Sandys,BM05,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:61,61,1603:45:16:60:0,1603:45:16:60:1:6,1603:45:16:60:2:61,Smiths,BM061,,,,Smiths,BM06,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:71,71,1603:45:16:60:0,1603:45:16:60:1:7,1603:45:16:60:2:71,Southampton,BM071,,,,Southampton,BM07,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:81,81,1603:45:16:60:0,1603:45:16:60:1:8,1603:45:16:60:2:81,Saint George's,BM081,,,,Saint George's,BM08,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:82,82,1603:45:16:60:0,1603:45:16:60:1:8,1603:45:16:60:2:82,Saint George municipality,BM082,,,,Saint George's,BM08,Bermuda,BM,2017-09-21,2019-05-22,
1603:45:16:60:2:91,91,1603:45:16:60:0,1603:45:16:60:1:9,1603:45:16:60:2:91,Warwick,BM091,,,,Warwick,BM09,Bermuda,BM,2017-09-21,2019-05-22,
