#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm1+name+i_pol+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_pol+is_latn,#adm1+name+alt2+i_pol+is_latn,#country+name+i_pol+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:616:1:2,2,1603:45:16:616:0,1603:45:16:616:1:2,Dolnośląskie,PL002,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:4,4,1603:45:16:616:0,1603:45:16:616:1:4,Kujawsko-Pomorskie,PL004,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:6,6,1603:45:16:616:0,1603:45:16:616:1:6,Lubelskie,PL006,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:8,8,1603:45:16:616:0,1603:45:16:616:1:8,Lubuskie,PL008,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:10,10,1603:45:16:616:0,1603:45:16:616:1:10,Łódzkie,PL010,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:12,12,1603:45:16:616:0,1603:45:16:616:1:12,Małopolskie,PL012,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:14,14,1603:45:16:616:0,1603:45:16:616:1:14,Mazowieckie,PL014,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:16,16,1603:45:16:616:0,1603:45:16:616:1:16,Opolskie,PL016,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:18,18,1603:45:16:616:0,1603:45:16:616:1:18,Podkarpackie,PL018,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:20,20,1603:45:16:616:0,1603:45:16:616:1:20,Podlaskie,PL020,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:22,22,1603:45:16:616:0,1603:45:16:616:1:22,Pomorskie,PL022,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:24,24,1603:45:16:616:0,1603:45:16:616:1:24,Śląskie,PL024,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:26,26,1603:45:16:616:0,1603:45:16:616:1:26,Świętokrzyskie,PL026,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:28,28,1603:45:16:616:0,1603:45:16:616:1:28,Warmińsko-Mazurskie,PL028,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:30,30,1603:45:16:616:0,1603:45:16:616:1:30,Wielkopolskie,PL030,,,,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:1:32,32,1603:45:16:616:0,1603:45:16:616:1:32,Zachodniopomorskie,PL032,,,,Polska,PL,2022-04-19,2022-04-19,
