#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_pol+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:616:2:2001,2001,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2001,Boleslawiecki,PL002001,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2002,2002,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2002,Dzierzoniowski,PL002002,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2003,2003,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2003,Glogowski,PL002003,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2004,2004,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2004,Gorowski,PL002004,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2005,2005,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2005,Jaworski,PL002005,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2006,2006,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2006,Jeleniogorski,PL002006,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2007,2007,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2007,Kamiennogorski,PL002007,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2008,2008,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2008,Klodzki,PL002008,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2009,2009,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2009,Legnicki,PL002009,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
1603:45:16:616:2:2010,2010,1603:45:16:616:0,1603:45:16:616:1:2,1603:45:16:616:2:2010,Lubanski,PL002010,,,,Dolnośląskie,PL002,Polska,PL,2022-04-19,2022-04-19,
