#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_kin+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_fra+is_latn,#adm2+name+alt2+i_fra+is_latn,#adm2+name+alt1+i_kin+is_latn,#adm2+name+alt2+i_kin+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_fra+is_latn,#adm1+name+i_kin+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_fra+is_latn,#country+name+i_kin+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:646:2:11,11,Nyarugenge,,,RW11,,,,,,,,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:12,12,Gasabo,,,RW12,,,,,,,,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:13,13,Kicukiro,,,RW13,,,,,,,,Kigali City,Ville de Kigali,Umujyi wa Kigali,RW1,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:21,21,Nyanza,,,RW21,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:22,22,Gisagara,,,RW22,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:23,23,Nyaruguru,,,RW23,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:24,24,Huye,,,RW24,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:25,25,Nyamagabe,,,RW25,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:26,26,Ruhango,,,RW26,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:27,27,Muhanga,,,RW27,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:28,28,Kamonyi,,,RW28,,,,,,,,Southern Province,Province du Sud,Amajyepfo,RW2,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:31,31,Karongi,,,RW31,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:32,32,Rutsiro,,,RW32,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:33,33,Rubavu,,,RW33,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:34,34,Nyabihu,,,RW34,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:35,35,Ngororero,,,RW35,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:36,36,Rusizi,,,RW36,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:37,37,Nyamasheke,,,RW37,,,,,,,,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:41,41,Rulindo,,,RW41,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:42,42,Gakenke,,,RW42,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:43,43,Musanze,,,RW43,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:44,44,Burera,,,RW44,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:45,45,Gicumbi,,,RW45,,,,,,,,Northern Province,Province du Nord,Amajyaruguru,RW4,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:51,51,Rwamagana,,,RW51,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:52,52,Nyagatare,,,RW52,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:53,53,Gatsibo,,,RW53,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
1603:45:16:646:2:54,54,Kayonza,,,RW54,,,,,,,,Eastern Province,Province de l'Est,Iburasirazuba,RW5,Rwanda,Rwanda (le),U Rwanda,RW,2018-09-27,2021-09-29,
