qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:68:2:101,101,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:101,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:102,102,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:102,Azurduy,BO0102,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:103,103,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:103,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:104,104,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:104,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:105,105,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:105,Hernando Siles,BO0105,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:106,106,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:106,Yamparáez,BO0106,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:107,107,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:107,Nor Cinti,BO0107,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:108,108,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:108,Belisario Boeto,BO0108,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:109,109,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:109,Sur Cinti,BO0109,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:110,110,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:110,Luis Calvo,BO0110,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:201,201,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:201,Murillo,BO0201,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:202,202,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:202,Omasuyos,BO0202,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:203,203,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:203,Pacajes,BO0203,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:204,204,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:204,Camacho,BO0204,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:205,205,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:205,Muñecas,BO0205,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:206,206,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:207,207,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:207,Franz Tamayo,BO0207,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:208,208,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:209,209,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:209,Loayza,BO0209,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:210,210,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:210,Inquisivi,BO0210,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:211,211,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:211,Sud Yungas,BO0211,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:212,212,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:212,Los Andes,BO0212,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:213,213,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:213,Aroma,BO0213,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:214,214,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:214,Nor Yungas,BO0214,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:215,215,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:215,Abel Iturralde,BO0215,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:216,216,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:216,Bautista Saavedra,BO0216,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:217,217,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:217,Manco Kapac,BO0217,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:218,218,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:218,Gualberto Villarroel,BO0218,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:219,219,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:219,General José Manuel Pando,BO0219,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:220,220,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:220,Caranavi,BO0220,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:301,301,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:301,Cercado,BO0301,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:302,302,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:302,Campero,BO0302,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:303,303,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:303,Ayopaya,BO0303,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:304,304,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:304,Esteban Arze,BO0304,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:305,305,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:305,Arani,BO0305,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:306,306,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:306,Arque,BO0306,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:307,307,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:307,Capinota,BO0307,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:308,308,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:308,Germán Jordán,BO0308,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:309,309,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:309,Quillacollo,BO0309,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:310,310,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:310,Chapare,BO0310,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:311,311,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:311,Tapacarí,BO0311,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:312,312,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:312,Carrasco,BO0312,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:313,313,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:313,Mizque,BO0313,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:314,314,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:314,Punata,BO0314,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:315,315,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:315,Bolivar,BO0315,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
