#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:68:3:10101,10101,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:101,1603:45:16:68:3:10101,Sucre,BO010101,,,,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10102,10102,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:101,1603:45:16:68:3:10102,Yotala,BO010102,,,,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10103,10103,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:101,1603:45:16:68:3:10103,Poroma,BO010103,,,,Oropeza,BO0101,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10201,10201,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:102,1603:45:16:68:3:10201,Azurduy,BO010201,,,,Azurduy,BO0102,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10202,10202,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:102,1603:45:16:68:3:10202,Tarvita,BO010202,,,,Azurduy,BO0102,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10301,10301,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:103,1603:45:16:68:3:10301,Zudañez,BO010301,Zudanez,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10302,10302,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:103,1603:45:16:68:3:10302,Presto,BO010302,,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10303,10303,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:103,1603:45:16:68:3:10303,Mojocoya,BO010303,,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10304,10304,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:103,1603:45:16:68:3:10304,Villa Ricardo Mugia - Icla,BO010304,,,,Zudáñez,BO0103,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10401,10401,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:104,1603:45:16:68:3:10401,Padilla,BO010401,,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10402,10402,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:104,1603:45:16:68:3:10402,Tomina,BO010402,,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10403,10403,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:104,1603:45:16:68:3:10403,Sopachui,BO010403,,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10404,10404,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:104,1603:45:16:68:3:10404,Alcalá,BO010404,Alcala,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:10405,10405,1603:45:16:68:0,1603:45:16:68:1:1,1603:45:16:68:2:104,1603:45:16:68:3:10405,El Villar,BO010405,,,,Tomina,BO0104,Chuquisaca,BO01,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
