qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,fra-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,fra-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:686:1:1,1,1603:45:16:686:0,1603:45:16:686:1:1,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:2,2,1603:45:16:686:0,1603:45:16:686:1:2,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:3,3,1603:45:16:686:0,1603:45:16:686:1:3,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:4,4,1603:45:16:686:0,1603:45:16:686:1:4,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:5,5,1603:45:16:686:0,1603:45:16:686:1:5,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:6,6,1603:45:16:686:0,1603:45:16:686:1:6,Kedougou,SN06,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:7,7,1603:45:16:686:0,1603:45:16:686:1:7,Kolda,SN07,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:8,8,1603:45:16:686:0,1603:45:16:686:1:8,Louga,SN08,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:9,9,1603:45:16:686:0,1603:45:16:686:1:9,Matam,SN09,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:10,10,1603:45:16:686:0,1603:45:16:686:1:10,Saint Louis,SN10,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:11,11,1603:45:16:686:0,1603:45:16:686:1:11,Sedhiou,SN11,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:12,12,1603:45:16:686:0,1603:45:16:686:1:12,Tambacounda,SN12,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:13,13,1603:45:16:686:0,1603:45:16:686:1:13,Thies,SN13,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:1:14,14,1603:45:16:686:0,1603:45:16:686:1:14,Ziguinchor,SN14,Senegal,SN,2019-04-30,2022-01-04,
