#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm3+name+i_fra+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:686:3:10101,10101,Almadies,SN010101,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10102,10102,Grand Dakar,SN010102,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10103,10103,Parcelles Assainies,SN010103,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10104,10104,Plateau,SN010104,,,,Dakar,SN0101,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10201,10201,Guediawaye,SN010201,,,,Guediawaye,SN0102,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10301,10301,Niayes,SN010301,,,,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10302,10302,Thiaroye,SN010302,,,,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10303,10303,Pikine Dagoudane,SN010303,,,,Pikine,SN0103,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10401,10401,Sangalkam,SN010401,,,,Rufisque,SN0104,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:10402,10402,Rufisque Bargny,SN010402,,,,Rufisque,SN0104,Dakar,SN01,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20101,20101,Lambaye,SN020101,,,,Bambey,SN0201,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20102,20102,Ngoye,SN020102,,,,Bambey,SN0201,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20103,20103,Baba Garage,SN020103,,,,Bambey,SN0201,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20201,20201,Ndoulo,SN020201,,,,Diourbel,SN0202,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20202,20202,Ndindy,SN020202,,,,Diourbel,SN0202,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20301,20301,Ndame,SN020301,,,,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20302,20302,Taif,SN020302,,,,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:20303,20303,Kael,SN020303,,,,Mbacke,SN0203,Diourbel,SN02,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30101,30101,Diakhao,SN030101,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30102,30102,Fimla,SN030102,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30103,30103,Tattaguine,SN030103,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30104,30104,Niakhar,SN030104,,,,Fatick,SN0301,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30201,30201,Djilor,SN030201,,,,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30202,30202,Toubakouta,SN030202,,,,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30203,30203,Niodior,SN030203,,,,Foundiougne,SN0302,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30301,30301,Colobane,SN030301,,,,Gossas,SN0303,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:30302,30302,Ouadiour,SN030302,,,,Gossas,SN0303,Fatick,SN03,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40101,40101,Mabo,SN040101,,,,Birkelane,SN0401,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40102,40102,Keur Mboucki,SN040102,,,,Birkelane,SN0401,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40201,40201,Gniby,SN040201,,,,Kaffrine,SN0402,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40202,40202,Katakel,SN040202,,,,Kaffrine,SN0402,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40301,40301,Missira Wadene,SN040301,,,,Koungheul,SN0403,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40302,40302,Ida Mouride,SN040302,,,,Koungheul,SN0403,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40303,40303,Lour Escale,SN040303,,,,Koungheul,SN0403,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40401,40401,Darou Minam 2,SN040401,,,,Malem Hodar,SN0404,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:40402,40402,Sagna,SN040402,,,,Malem Hodar,SN0404,Kaffrine,SN04,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:50101,50101,Mbadakhoune,SN050101,,,,Guinguineo,SN0501,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:50102,50102,Nguelou,SN050102,,,,Guinguineo,SN0501,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
1603:45:16:686:3:50201,50201,Sibassoor/Ngothie,SN050201,,,,Kaolack,SN0502,Kaolack,SN05,Senegal,SN,2019-04-30,2022-01-04,
