#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:716:1:10,10,Bulawayo,ZW10,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:11,11,Manicaland,ZW11,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:12,12,Mashonaland Central,ZW12,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:13,13,Mashonaland East,ZW13,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:14,14,Mashonaland West,ZW14,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:15,15,Matabeleland North,ZW15,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:16,16,Matabeleland South,ZW16,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:17,17,Midlands,ZW17,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:18,18,Masvingo,ZW18,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:1:19,19,Harare,ZW19,,,,Zimbabwe,ZW,2018-08-31,2020-11-26,
