#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:716:3:102101,102101,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102101,01,ZW102101,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102102,102102,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102102,02,ZW102102,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102103,102103,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102103,03,ZW102103,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102104,102104,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102104,04,ZW102104,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102105,102105,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102105,05,ZW102105,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102106,102106,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102106,06,ZW102106,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102107,102107,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102107,07,ZW102107,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102108,102108,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102108,08,ZW102108,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102109,102109,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102109,09,ZW102109,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
1603:45:16:716:3:102110,102110,1603:45:16:716:0,1603:45:16:716:1:10,1603:45:16:716:2:1021,1603:45:16:716:3:102110,10,ZW102110,,,,Bulawayo,ZW1021,Bulawayo,ZW10,Zimbabwe,ZW,2018-08-31,2020-11-26,
