#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:728:2:101,101,Juba,SS0101,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:102,102,Kajo-keji,SS0102,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:103,103,Lainya,SS0103,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:104,104,Morobo,SS0104,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:105,105,Terekeka,SS0105,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:106,106,Yei,SS0106,,,,Central Equatoria,SS01,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:201,201,Budi,SS0201,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:202,202,Ikotos,SS0202,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:203,203,Kapoeta East,SS0203,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:204,204,Kapoeta North,SS0204,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:205,205,Kapoeta South,SS0205,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:206,206,Lafon,SS0206,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:207,207,Magwi,SS0207,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:208,208,Torit,SS0208,,,,Eastern Equatoria,SS02,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:301,301,Akobo,SS0301,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:302,302,Ayod,SS0302,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:303,303,Bor South,SS0303,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:304,304,Canal-Pigi,SS0304,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:305,305,Duk,SS0305,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:306,306,Fangak,SS0306,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:307,307,Nyirol,SS0307,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:308,308,Pibor,SS0308,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:309,309,Pochalla,SS0309,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:310,310,Twic East,SS0310,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:311,311,Uror,SS0311,,,,Jonglei,SS03,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:401,401,Awerial,SS0401,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:402,402,Cueibet,SS0402,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:403,403,Rumbek Centre,SS0403,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:404,404,Rumbek East,SS0404,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:405,405,Rumbek North,SS0405,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:406,406,Wulu,SS0406,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:407,407,Yirol East,SS0407,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:408,408,Yirol West,SS0408,,,,Lakes,SS04,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:501,501,Aweil Centre,SS0501,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:502,502,Aweil East,SS0502,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:503,503,Aweil North,SS0503,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:504,504,Aweil South,SS0504,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:505,505,Aweil West,SS0505,,,,Northern Bahr el Ghazal,SS05,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:601,601,Abiemnhom,SS0601,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:602,602,Guit,SS0602,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:603,603,Koch,SS0603,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:604,604,Leer,SS0604,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:605,605,Mayendit,SS0605,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:606,606,Mayom,SS0606,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:607,607,Panyijiar,SS0607,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:608,608,Pariang,SS0608,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:609,609,Rubkona,SS0609,,,,Unity,SS06,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:701,701,Baliet,SS0701,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:702,702,Fashoda,SS0702,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:703,703,Longochuk,SS0703,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:704,704,Luakpiny/Nasir,SS0704,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:705,705,Maban,SS0705,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:706,706,Maiwut,SS0706,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:707,707,Malakal,SS0707,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:708,708,Manyo,SS0708,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:709,709,Melut,SS0709,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:710,710,Panyikang,SS0710,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:711,711,Renk,SS0711,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:712,712,Ulang,SS0712,,,,Upper Nile,SS07,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:801,801,Gogrial East,SS0801,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:802,802,Gogrial West,SS0802,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:803,803,Tonj East,SS0803,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:804,804,Tonj North,SS0804,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:805,805,Tonj South,SS0805,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:806,806,Twic,SS0806,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:807,807,Abyei Region,SS0807,,,,Warrap,SS08,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:901,901,Jur River,SS0901,,,,Western Bahr el Ghazal,SS09,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:902,902,Raja,SS0902,,,,Western Bahr el Ghazal,SS09,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:903,903,Wau,SS0903,,,,Western Bahr el Ghazal,SS09,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1001,1001,Ezo,SS1001,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1002,1002,Ibba,SS1002,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1003,1003,Maridi,SS1003,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1004,1004,Mundri East,SS1004,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1005,1005,Mundri West,SS1005,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1006,1006,Mvolo,SS1006,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1007,1007,Nagero,SS1007,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
1603:45:16:728:2:1008,1008,Nzara,SS1008,,,,Western Equatoria,SS10,South Sudan,SS,2018-08-15,2022-01-21,
