qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,nld-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,nld-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:740:1:1,1,1603:45:16:740:0,1603:45:16:740:1:1,Brokopondo,SR01,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:2,2,1603:45:16:740:0,1603:45:16:740:1:2,Commewijne,SR02,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:3,3,1603:45:16:740:0,1603:45:16:740:1:3,Coronie,SR03,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:4,4,1603:45:16:740:0,1603:45:16:740:1:4,Marowijne,SR04,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:5,5,1603:45:16:740:0,1603:45:16:740:1:5,Nickerie,SR05,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:6,6,1603:45:16:740:0,1603:45:16:740:1:6,Para,SR06,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:7,7,1603:45:16:740:0,1603:45:16:740:1:7,Paramaribo,SR07,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:8,8,1603:45:16:740:0,1603:45:16:740:1:8,Saramacca,SR08,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:9,9,1603:45:16:740:0,1603:45:16:740:1:9,Sipaliwini,SR09,Suriname,SR,2019-10-24,2019-10-24,
1603:45:16:740:1:10,10,1603:45:16:740:0,1603:45:16:740:1:10,Wanica,SR10,Suriname,SR,2019-10-24,2019-10-24,
