#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_por+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_por+is_latn,#adm1+name+alt2+i_por+is_latn,#country+name+i_por+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:76:1:11,11,Rondônia,BR11,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:12,12,Acre,BR12,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:13,13,Amazonas,BR13,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:14,14,Roraima,BR14,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:15,15,Pará,BR15,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:16,16,Amapá,BR16,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:17,17,Tocantins,BR17,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:21,21,Maranhão,BR21,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:22,22,Piauí,BR22,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:23,23,Ceará,BR23,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:24,24,Rio Grande do Norte,BR24,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:25,25,Paraíba,BR25,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:26,26,Pernambuco,BR26,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:27,27,Alagoas,BR27,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:28,28,Sergipe,BR28,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:29,29,Bahia,BR29,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:31,31,Minas Gerais,BR31,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:32,32,Espírito Santo,BR32,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:33,33,Rio de Janeiro,BR33,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:35,35,São Paulo,BR35,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:41,41,Paraná,BR41,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:42,42,Santa Catarina,BR42,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:43,43,Rio Grande do Sul,BR43,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:50,50,Mato Grosso do Sul,BR50,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:51,51,Mato Grosso,BR51,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:52,52,Goiás,BR52,,,,Brasil,BR,2020-09-30,2020-09-30,
1603:45:16:76:1:53,53,Distrito Federal,BR53,,,,Brasil,BR,2020-09-30,2020-09-30,
