#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+ix_wikiq,#item+rem+i_qcc+is_zxxx+ix_wikip402,#item+rem+i_qcc+is_zxxx+ix_wikip1566,#item+rem+i_qcc+is_zxxx+ix_wikip1937,#item+rem+i_qcc+is_zxxx+ix_wikip6555,#item+rem+i_qcc+is_zxxx+ix_wikip8119
1100015,Q1761456,325842,6316344,,310,
1100023,Q1646975,325888,3665199,,78,
1100031,Q940433,325882,6316673,,450,
1100049,Q1761637,325872,3925212,,94,
1100056,Q1803210,325883,6316847,,272,
1100064,Q1785819,325860,6316897,,230,
1100072,Q927349,325874,6316935,,655,
1100080,Q656758,325844,3925158,,213,
1100098,Q616498,325845,6319237,,256,
1100106,Q983810,325856,3925074|3925075,,19,
1100114,Q988755,325864,6324172|3925040,,159,
1100122,Q983815,325879,3925033,,51,
1100130,Q1786440,325881,6317499,,396,
1100148,Q2014329,325857,6319240,,370,
1100155,Q1803223,325854,3924948|6319241,,175,
1100189,Q1803175,325843,3924908|6319242,,116,
1100205,Q172512,325855,6319243|3662762,,35,
1100254,Q1871362,325892,6319244,,191,
1100262,Q1786495,325848,3758237,,647,
1100288,Q1784242,325876,6319246|6318182,,299,
1100296,Q1802100,325862,6318273,,353,
1100304,Q1749958,325887,3924679|6319248,,132,
1100320,Q1807456,325863,6318556,,418,
1100338,Q993507,325849,6317748,,434,
1100346,Q1786028,325853,6316378,,337,
1100379,Q1802050,325858,6319251,,736,
1100403,Q607036,325870,6319252|6316364,,639,
1100452,Q1921800,325859,6316666|6319253,,779,
1100502,Q2013150,325865,6317789,,515,
1100601,Q1750177,325847,6319255,,620,
1100700,Q2089179,325871,6316744,,671,
1100809,Q2078405,325890,6316763,,477,
1100908,Q1785860,325891,6316825,,531,
1100924,Q735454,325852,6316868,,809,
1100940,Q1803135,325880,3664441,,680,
1101005,Q964725,325894,6317215,,612,
1101104,Q1802170,325893,6319261,,493,
1101203,Q775204,325889,6319262,,604,
1101302,Q2079711,325875,6317600,,574,
1101401,Q2014320,325873,6317631|6319263,,663,
1101435,Q2364475,325846,6317773|6319264,,744,
1101450,Q1803114,325850,3969432,,701,
1101468,Q1803105,325885,6317950,,787,
1101476,Q1802123,325878,6318073,,728,
1101484,Q1803269,325877,6318412,,710,
1101492,Q1802095,325851,6318426,,795,
1101500,Q727950,325867,6318665,,582,
1101559,Q1802088,325861,3969415,,752,
1101609,Q647208,325886,6319272|3969387,,590,
1101708,Q2089326,325884,6319273,,566,
1101757,Q1807445,325868,6318846,,698,
1101807,Q2013187,325869,6319275|3969388,,558,
1200013,Q953086,326273,6316299,,1120,
1200054,Q1754403,326269,6319277|3925280,,1570,
1200104,Q899406,326270,3925227,,1058,
1200138,Q1754408,326259,3731286,,1007,
1200179,Q1800737,326268,6316795,,1015,
1200203,Q941136,326274,3664464,,1074,
1200252,Q1755395,326256,6317075,,1112,
1200302,Q1994833,326258,6324175|3664243,,1139,
1200328,Q1800793,326252,6319283|6317392,,1104,
1200336,Q1772621,326262,3663516|6319284,,1090,
1200344,Q1772688,326271,3663495|6324176,,1554,
1200351,Q1772613,326257,6319285|3661948,,1040,
1200385,Q964075,326267,3924895|6319286,,1511,
1200393,Q1772588,326264,3662761|6319287,,1066,
1200401,Q171612,326253,3662574|6319288,,1392,
1200427,Q1800776,326254,6318179|6319289,,1082,
1200435,Q1772719,326272,6318301,,1031,
1200450,Q771763,326261,3924752,,1538,
1200500,Q1754389,326263,3662155|6324178,,1457,
1200609,Q979910,326255,6319291|3661980,,1473,
1200708,Q1012531,326260,6319292|3924674,,1490,
1200807,Q1772602,326265,3662784,,1023,
1300029,Q1808573,332499,3665380|6319294,,2895,
1300060,Q1772609,332512,3665364,,2917,
1300086,Q974915,332497,3665348,,2933,
1300102,Q931090,332474,6319297|3665315,,2038,
1300144,Q1112525,332502,6316415,,2003,
1300201,Q1793319,332473,3665168,,2054,
1300300,Q1772695,332503,6319300|3406948,,2070,
1300409,Q807939,332478,6319301|3665098,,2097,
1300508,Q1772565,332522,3406202|6319302,,2119,
1300607,Q1767926,332518,3665016|6319303,,2135,
1300631,Q584172,332513,3665014,,2950,
1300680,Q940548,332464,6316587,,2976,
1300706,Q1793334,332492,3664956|6319306,,2151,
1300805,Q2089660,332495,3405051|6319307,,2178,
1300839,Q945469,332501,3664852,,2992,
1300904,Q1807050,332480,6324275|3664716,,2194,
1301001,Q1794236,332496,3664659|6319309,,2216,
1301100,Q1751325,332515,6319310|3739143,,2232,
1301159,Q1807045,332462,3402920|6319311,,2046,
1301209,Q645204,332521,6324179|3664539,,2259,
1301308,Q1762074,332491,6319312|3664525,,2275,
1301407,Q1646910,332511,3664321,,2291,
1301506,Q1750090,332488,6319314|6317074,,2313,
1301605,Q1793768,332510,3664207,,2330,
1301654,Q1808440,332508,3663973|6319316,,2020,
1301704,Q1025760,332523,6319317|3664078,,2356,
1301803,Q1794374,332520,3663974,,2399,
1301852,Q1761947,332514,3736808|6319319,,98353,
