#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_ara+is_arab,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ara+is_arab,#adm2+name+alt2+i_ara+is_arab,#adm1+name+i_eng+is_latn,#adm1+name+i_ara+is_arab,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ara+is_arab,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:760:2:100,100,1603:45:16:760:0,1603:45:16:760:1:1,1603:45:16:760:2:100,Damascus,دمشق,SY0100,,,,,,Damascus,دمشق,SY01,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:200,200,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:200,Jebel Saman,جبل سمعان,SY0200,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:202,202,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:202,Al Bab,الباب,SY0202,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:203,203,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:203,Afrin,عفرين,SY0203,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:204,204,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:204,A'zaz,اعزاز,SY0204,Azaz,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:205,205,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:205,Menbij,منبج,SY0205,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:206,206,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:206,Ain Al Arab,عين العرب,SY0206,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:207,207,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:207,As-Safira,السفيرة,SY0207,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:208,208,1603:45:16:760:0,1603:45:16:760:1:2,1603:45:16:760:2:208,Jarablus,جرابلس,SY0208,,,,,,Aleppo,حلب,SY02,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:301,301,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:301,Rural Damascus,مركز ريف دمشق,SY0301,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
1603:45:16:760:2:302,302,1603:45:16:760:0,1603:45:16:760:1:3,1603:45:16:760:2:302,Duma,دوما,SY0302,,,,,,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,2021-01-15,2021-06-13,
