#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_tha+is_thai+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:764:1:10,10,1603:45:16:764:0,1603:45:16:764:1:10,Bangkok,กรุงเทพมหานคร,TH10,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:11,11,1603:45:16:764:0,1603:45:16:764:1:11,Samut Prakan,สมุทรปราการ,TH11,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:12,12,1603:45:16:764:0,1603:45:16:764:1:12,Nonthaburi,นนทบุรี,TH12,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:13,13,1603:45:16:764:0,1603:45:16:764:1:13,Pathum Thani,ปทุมธานี,TH13,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:14,14,1603:45:16:764:0,1603:45:16:764:1:14,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:15,15,1603:45:16:764:0,1603:45:16:764:1:15,Ang Thong,อ่างทอง,TH15,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:16,16,1603:45:16:764:0,1603:45:16:764:1:16,Lop Buri,ลพบุรี,TH16,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:17,17,1603:45:16:764:0,1603:45:16:764:1:17,Sing Buri,สิงห์บุรี,TH17,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:18,18,1603:45:16:764:0,1603:45:16:764:1:18,Chai Nat,ชัยนาท,TH18,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:19,19,1603:45:16:764:0,1603:45:16:764:1:19,Saraburi,สระบุรี,TH19,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:20,20,1603:45:16:764:0,1603:45:16:764:1:20,Chon Buri,ชลบุรี,TH20,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:21,21,1603:45:16:764:0,1603:45:16:764:1:21,Rayong,ระยอง,TH21,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:22,22,1603:45:16:764:0,1603:45:16:764:1:22,Chanthaburi,จันทบุรี,TH22,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:23,23,1603:45:16:764:0,1603:45:16:764:1:23,Trat,ตราด,TH23,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
1603:45:16:764:1:24,24,1603:45:16:764:0,1603:45:16:764:1:24,Chachoengsao,ฉะเชิงเทรา,TH24,,,,,,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
