#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:768:2:101,101,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:101,Blitta,TG0101,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:102,102,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:102,Plaine du Mo,TG0102,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:103,103,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:103,Sotouboua,TG0103,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:104,104,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:104,Tchamba,TG0104,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:105,105,1603:45:16:768:0,1603:45:16:768:1:1,1603:45:16:768:2:105,Tchaoudjo,TG0105,,,,Centrale,TG01,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:201,201,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:201,Assoli,TG0201,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:202,202,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:202,Bassar,TG0202,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:203,203,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:203,Binah,TG0203,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:204,204,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:204,Dankpen,TG0204,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:205,205,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:205,Doufelgou,TG0205,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:206,206,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:206,Keran,TG0206,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:207,207,1603:45:16:768:0,1603:45:16:768:1:2,1603:45:16:768:2:207,Kozah,TG0207,,,,Kara,TG02,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:301,301,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:301,Ave,TG0301,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:302,302,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:302,Bas-Mono,TG0302,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:303,303,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:303,Golfe,TG0303,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:304,304,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:304,Lacs,TG0304,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:305,305,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:305,Lome Commune,TG0305,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:306,306,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:306,Vo,TG0306,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:307,307,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:307,Yoto,TG0307,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:308,308,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:308,Zio,TG0308,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:309,309,1603:45:16:768:0,1603:45:16:768:1:3,1603:45:16:768:2:309,Agoe-Nyive,TG0309,,,,Maritime,TG03,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:401,401,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:401,Amou,TG0401,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:402,402,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:402,Wawa,TG0402,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:403,403,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:403,Agou,TG0403,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:404,404,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:404,Danyi,TG0404,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:405,405,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:405,Est-Mono,TG0405,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:406,406,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:406,Haho,TG0406,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:407,407,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:407,Kpele,TG0407,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:408,408,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:408,Moyen-Mono,TG0408,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:409,409,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:409,Ogou,TG0409,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:410,410,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:410,Akebou,TG0410,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:411,411,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:411,Anie,TG0411,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:412,412,1603:45:16:768:0,1603:45:16:768:1:4,1603:45:16:768:2:412,Kloto,TG0412,,,,Plateaux,TG04,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:513,513,1603:45:16:768:0,1603:45:16:768:1:5,1603:45:16:768:2:513,Kpendjal,TG0513,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:514,514,1603:45:16:768:0,1603:45:16:768:1:5,1603:45:16:768:2:514,Oti,TG0514,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:515,515,1603:45:16:768:0,1603:45:16:768:1:5,1603:45:16:768:2:515,Tandjoare,TG0515,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:516,516,1603:45:16:768:0,1603:45:16:768:1:5,1603:45:16:768:2:516,Tone,TG0516,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:517,517,1603:45:16:768:0,1603:45:16:768:1:5,1603:45:16:768:2:517,Cinkasse,TG0517,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:518,518,1603:45:16:768:0,1603:45:16:768:1:5,1603:45:16:768:2:518,Naki-Ouest,TG0518,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
1603:45:16:768:2:519,519,1603:45:16:768:0,1603:45:16:768:1:5,1603:45:16:768:2:519,Oti-Sud,TG0519,,,,Savanes,TG05,Togo,TG,2020-01-12,2022-01-04,
