#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_sqi+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:8:1:1,1,1603:45:16:8:0,1603:45:16:8:1:1,Berat,Berat,AL01,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:2,2,1603:45:16:8:0,1603:45:16:8:1:2,Diber,Dibër,AL02,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:3,3,1603:45:16:8:0,1603:45:16:8:1:3,Durres,Durrës,AL03,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:4,4,1603:45:16:8:0,1603:45:16:8:1:4,Elbasan,Elbasan,AL04,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:5,5,1603:45:16:8:0,1603:45:16:8:1:5,Fier,Fier,AL05,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:6,6,1603:45:16:8:0,1603:45:16:8:1:6,Gjirokaster,Gjirokastër,AL06,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:7,7,1603:45:16:8:0,1603:45:16:8:1:7,Korce,Korçë,AL07,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:8,8,1603:45:16:8:0,1603:45:16:8:1:8,Kukes,Kukës,AL08,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:9,9,1603:45:16:8:0,1603:45:16:8:1:9,Lezhe,Lezhë,AL09,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:10,10,1603:45:16:8:0,1603:45:16:8:1:10,Shkoder,Shkodër,AL10,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:11,11,1603:45:16:8:0,1603:45:16:8:1:11,Tirane,Tiranë,AL11,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
1603:45:16:8:1:12,12,1603:45:16:8:0,1603:45:16:8:1:12,Vlore,Vlorë,AL12,,,,,,Albania,Shqipëri,AL,2019-12-21,2019-12-21,
