#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5004+rdf_p_obo_bfo171_s5003+rdf_s_u2200_s5004,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt0,#meta+ERROR+adm4+code+v_pcode,#meta+ERROR+adm4+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5004+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#meta+ERROR+adm3+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:800:4:10010101,10010101,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100101,1603:45:16:800:4:10010101,Buikwe,UG10010101,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010102,10010102,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100101,1603:45:16:800:4:10010102,Buikwe Town Council,UG10010102,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010103,10010103,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100101,1603:45:16:800:4:10010103,Najja,UG10010103,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010104,10010104,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100101,1603:45:16:800:4:10010104,Ngogwe,UG10010104,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010105,10010105,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100101,1603:45:16:800:4:10010105,Nkokonjeru Town Council,UG10010105,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010106,10010106,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100101,1603:45:16:800:4:10010106,Ssi-Bukunja,UG10010106,,,,Buikwe,UG100101,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010201,10010201,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100102,1603:45:16:800:4:10010201,Central Division,UG10010201,,,,KCCA,UG100102,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010301,10010301,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100103,1603:45:16:800:4:10010301,Kawolo Division,UG10010301,,,,Lugazi Municipality,UG100103,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010302,10010302,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100103,1603:45:16:800:4:10010302,Najjembe Division,UG10010302,,,,Lugazi Municipality,UG100103,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010401,10010401,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100104,1603:45:16:800:4:10010401,Njeru Division,UG10010401,,,,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010402,10010402,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100104,1603:45:16:800:4:10010402,Nyenga Division,UG10010402,,,,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10010403,10010403,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1001,1603:45:16:800:3:100104,1603:45:16:800:4:10010403,Wakisi Division,UG10010403,,,,Njeru Municipality,UG100104,Buikwe,UG1001,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10020101,10020101,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1002,1603:45:16:800:3:100201,1603:45:16:800:4:10020101,Bigasa,UG10020101,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10020102,10020102,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1002,1603:45:16:800:3:100201,1603:45:16:800:4:10020102,Bukomansimbi  Town Council,UG10020102,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10020103,10020103,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1002,1603:45:16:800:3:100201,1603:45:16:800:4:10020103,Butenga,UG10020103,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10020104,10020104,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1002,1603:45:16:800:3:100201,1603:45:16:800:4:10020104,Kibinge,UG10020104,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10020105,10020105,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1002,1603:45:16:800:3:100201,1603:45:16:800:4:10020105,Kitanda,UG10020105,,,,Bukomansimbi,UG100201,Bukomansimbi,UG1002,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10030101,10030101,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,1603:45:16:800:3:100301,1603:45:16:800:4:10030101,Budde,UG10030101,,,,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10030102,10030102,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,1603:45:16:800:3:100301,1603:45:16:800:4:10030102,Bulo,UG10030102,,,,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10030103,10030103,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,1603:45:16:800:3:100301,1603:45:16:800:4:10030103,Gombe Town Council,UG10030103,,,,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10030104,10030104,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,1603:45:16:800:3:100301,1603:45:16:800:4:10030104,Kalamba,UG10030104,,,,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10030105,10030105,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,1603:45:16:800:3:100301,1603:45:16:800:4:10030105,Kibibi,UG10030105,,,,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10030106,10030106,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1003,1603:45:16:800:3:100301,1603:45:16:800:4:10030106,Ngando,UG10030106,,,,Butambala,UG100301,Butambala,UG1003,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040101,10040101,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040101,Bugaya,UG10040101,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040102,10040102,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040102,Busamuzi,UG10040102,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040103,10040103,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040103,Buvuma Town Council,UG10040103,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040104,10040104,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040104,Buwooya,UG10040104,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040105,10040105,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040105,Bweema,UG10040105,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040106,10040106,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040106,Lubya,UG10040106,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040107,10040107,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040107,Lwajje,UG10040107,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040108,10040108,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040108,Lyabaana,UG10040108,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10040109,10040109,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1004,1603:45:16:800:3:100401,1603:45:16:800:4:10040109,Nairambi,UG10040109,,,,Buvuma Island,UG100401,Buvuma,UG1004,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
1603:45:16:800:4:10050101,10050101,1603:45:16:800:0,1603:45:16:800:1:1,1603:45:16:800:2:1005,1603:45:16:800:3:100501,1603:45:16:800:4:10050101,Kabulasoke,UG10050101,,,,Gomba,UG100501,Gomba,UG1005,Central,UG1,Uganda,UG,2020-06-11,2020-08-28,
