#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_ukr+is_cyrl,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_ukr+is_cyrl,#adm1+name+alt2+i_ukr+is_cyrl,#adm1+name+alt1+i_rus+is_cyrl,#adm1+name+alt2+i_rus+is_cyrl,#country+name+i_eng+is_latn,#country+name+i_ukr+is_cyrl,#country+name+i_rus+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:804:1:1,1,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:5,5,Vinnytska,Вінницька,Винницкая,UA05,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:7,7,Volynska,Волинська,Волынская,UA07,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:12,12,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:14,14,Donetska,Донецька,Донецкая,UA14,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:18,18,Zhytomyrska,Житомирська,Житомирская,UA18,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:21,21,Zakarpatska,Закарпатська,Закарпатская,UA21,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:23,23,Zaporizka,Запорізька,Запорожская,UA23,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:26,26,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:32,32,Kyivska,Київська,Киевская,UA32,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:35,35,Kirovohradska,Кіровоградська,Кировоградская,UA35,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:44,44,Luhanska,Луганська,Луганская,UA44,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:46,46,Lvivska,Львівська,Львовская,UA46,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:48,48,Mykolaivska,Миколаївська,Николаевская,UA48,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:51,51,Odeska,Одеська,Одесская,UA51,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:53,53,Poltavska,Полтавська,Полтавская,UA53,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:56,56,Rivnenska,Рівненська,Ровенская,UA56,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:59,59,Sumska,Сумська,Сумская,UA59,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:61,61,Ternopilska,Тернопільська,Тернопольская,UA61,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:63,63,Kharkivska,Харківська,Харьковская,UA63,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:65,65,Khersonska,Херсонська,Херсонская,UA65,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:68,68,Khmelnytska,Хмельницька,Хмельницкая,UA68,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:71,71,Cherkaska,Черкаська,Черкасская,UA71,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:73,73,Chernivetska,Чернівецька,Черновицкая,UA73,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:74,74,Chernihivska,Чернігівська,Черниговская,UA74,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:80,80,Kyivska,Київська,Киевская,UA80,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:85,85,Sevastopilska,Севастопільська,Севастопольский,UA85,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
