#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:804:1:1,1,1603:45:16:804:0,1603:45:16:804:1:1,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:5,5,1603:45:16:804:0,1603:45:16:804:1:5,Vinnytska,Вінницька,Винницкая,UA05,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:7,7,1603:45:16:804:0,1603:45:16:804:1:7,Volynska,Волинська,Волынская,UA07,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:12,12,1603:45:16:804:0,1603:45:16:804:1:12,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:14,14,1603:45:16:804:0,1603:45:16:804:1:14,Donetska,Донецька,Донецкая,UA14,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:18,18,1603:45:16:804:0,1603:45:16:804:1:18,Zhytomyrska,Житомирська,Житомирская,UA18,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:21,21,1603:45:16:804:0,1603:45:16:804:1:21,Zakarpatska,Закарпатська,Закарпатская,UA21,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:23,23,1603:45:16:804:0,1603:45:16:804:1:23,Zaporizka,Запорізька,Запорожская,UA23,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:26,26,1603:45:16:804:0,1603:45:16:804:1:26,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:32,32,1603:45:16:804:0,1603:45:16:804:1:32,Kyivska,Київська,Киевская,UA32,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:35,35,1603:45:16:804:0,1603:45:16:804:1:35,Kirovohradska,Кіровоградська,Кировоградская,UA35,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:44,44,1603:45:16:804:0,1603:45:16:804:1:44,Luhanska,Луганська,Луганская,UA44,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:46,46,1603:45:16:804:0,1603:45:16:804:1:46,Lvivska,Львівська,Львовская,UA46,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:48,48,1603:45:16:804:0,1603:45:16:804:1:48,Mykolaivska,Миколаївська,Николаевская,UA48,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:51,51,1603:45:16:804:0,1603:45:16:804:1:51,Odeska,Одеська,Одесская,UA51,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:53,53,1603:45:16:804:0,1603:45:16:804:1:53,Poltavska,Полтавська,Полтавская,UA53,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:56,56,1603:45:16:804:0,1603:45:16:804:1:56,Rivnenska,Рівненська,Ровенская,UA56,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:59,59,1603:45:16:804:0,1603:45:16:804:1:59,Sumska,Сумська,Сумская,UA59,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:61,61,1603:45:16:804:0,1603:45:16:804:1:61,Ternopilska,Тернопільська,Тернопольская,UA61,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:63,63,1603:45:16:804:0,1603:45:16:804:1:63,Kharkivska,Харківська,Харьковская,UA63,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:65,65,1603:45:16:804:0,1603:45:16:804:1:65,Khersonska,Херсонська,Херсонская,UA65,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:68,68,1603:45:16:804:0,1603:45:16:804:1:68,Khmelnytska,Хмельницька,Хмельницкая,UA68,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:71,71,1603:45:16:804:0,1603:45:16:804:1:71,Cherkaska,Черкаська,Черкасская,UA71,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:73,73,1603:45:16:804:0,1603:45:16:804:1:73,Chernivetska,Чернівецька,Черновицкая,UA73,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:74,74,1603:45:16:804:0,1603:45:16:804:1:74,Chernihivska,Чернігівська,Черниговская,UA74,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:80,80,1603:45:16:804:0,1603:45:16:804:1:80,Kyivska,Київська,Киевская,UA80,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:1:85,85,1603:45:16:804:0,1603:45:16:804:1:85,Sevastopilska,Севастопільська,Севастопольский,UA85,,,,,,,,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
