#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ukr+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:804:3:102000,102000,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102000,Sevastopilska,Севастопільська,Севастопольский,UA0102000,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102003,102003,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102003,Aromatnenska,Ароматненська,Ароматненский,UA0102003,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102005,102005,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102005,Bakhchysaraiska,Бахчисарайська,Бахчисарайский,UA0102005,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102009,102009,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102009,Verkhorichenska,Верхоріченська,Верхореченский,UA0102009,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102011,102011,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102011,Vilinska,Вілінська,Вилинский,UA0102011,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102013,102013,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102013,Holubynska,Голубинська,Голубинский,UA0102013,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102015,102015,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102015,Dolynnenska,Долинненська,Долинненский,UA0102015,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102017,102017,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102017,Zaliznychnenska,Залізничненська,Железнодорожненский,UA0102017,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102019,102019,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102019,Zelenivska,Зеленівська,Зеленовский,UA0102019,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102025,102025,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102025,Kashtanivska,Каштанівська,Каштановский,UA0102025,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102027,102027,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102027,Krasnomatska,Красномацька,Красномакский,UA0102027,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102029,102029,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102029,Kuibyshevska,Куйбишевська,Куйбышевский,UA0102029,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102033,102033,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102033,Pishchanivska,Піщанівська,Песчановский,UA0102033,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102035,102035,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102035,Plodivska,Плодівська,Плодовский,UA0102035,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102037,102037,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102037,Poshtivska,Поштівська,Почтовский,UA0102037,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102039,102039,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102039,Skalystivska,Скалистівська,Скалистовский,UA0102039,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102041,102041,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102041,Tabachnenska,Табачненська,Табачненский,UA0102041,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102045,102045,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102045,Tinystivska,Тінистівська,Тенистовский,UA0102045,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:102047,102047,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:102,1603:45:16:804:3:102047,Uhlivska,Углівська,Угловский,UA0102047,,,,,,,,Bakhchysaraiskyi,Бахчисарайський,Бахчисарайский,UA0102,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:3:104001,104001,1603:45:16:804:0,1603:45:16:804:1:1,1603:45:16:804:2:104,1603:45:16:804:3:104001,Aromatnivska,Ароматнівська,Ароматновский,UA0104001,,,,,,,,Bilohirskyi,Білогірський,Белогорский,UA0104,Avtonomna Respublika Krym,Автономна Республіка Крим,Автономная Республика Крым,UA01,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
