#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt0,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:818:1:1,1,1603:45:16:818:0,1603:45:16:818:1:1,Cairo,القاهرة,EG01,Cairo,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:2,2,1603:45:16:818:0,1603:45:16:818:1:2,Alexandria,الاسكندرية,EG02,Alexandria,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:3,3,1603:45:16:818:0,1603:45:16:818:1:3,Port Said,بورسعيد,EG03,Port Said,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:4,4,1603:45:16:818:0,1603:45:16:818:1:4,Suez,السويس,EG04,Suez,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:11,11,1603:45:16:818:0,1603:45:16:818:1:11,Damietta,دمياط,EG11,Damietta,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:12,12,1603:45:16:818:0,1603:45:16:818:1:12,Dakahlia,الدقهلية,EG12,Dakahlia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:13,13,1603:45:16:818:0,1603:45:16:818:1:13,Sharkia,الشرقية,EG13,Sharkia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:14,14,1603:45:16:818:0,1603:45:16:818:1:14,Kalyoubia,القليوبية,EG14,Kalyoubia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:15,15,1603:45:16:818:0,1603:45:16:818:1:15,Kafr El-Shikh,كفر الشيخ,EG15,Kafr El-Shikh,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:1:16,16,1603:45:16:818:0,1603:45:16:818:1:16,Gharbia,الغربية,EG16,Gharbia,,,,,Egypt,مِصر,EG,2017-08-14,2020-12-01,
