qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:2:100,100,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:100,Zemam Out,خارج الزمام,EG0100,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:101,101,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:101,Al Tibbin,قسم  التبين,EG0101,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:102,102,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:102,Hilwan,قسم حلوان,EG0102,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:103,103,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:103,15 Mayu,قسم  15 مايو,EG0103,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:104,104,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:104,Maadi,قسم المعادي,EG0104,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:105,105,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:105,Tura,قسم  طره,EG0105,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:106,106,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:106,Misr Al-Qadima,مصر القديمة,EG0106,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:107,107,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:107,Sayyida Zainab,قسم  السيدة زينب,EG0107,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:108,108,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:108,Al Khalifa,قسم  الخليفة,EG0108,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:109,109,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:109,Abdin,قسم عابدين,EG0109,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:110,110,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:110,Muski,قسم الموسكي,EG0110,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:111,111,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:111,Qasr Al-Nile,قسم  قصر النيل,EG0111,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:112,112,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:112,Bulaq,قسم بولاق,EG0112,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:113,113,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:113,Al Azbakiyya,قسم  الأزبكية,EG0113,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:114,114,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:114,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:115,115,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:115,Gamaliyya,قسم  الجمالية,EG0115,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:116,116,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:116,Bab Al-Shariyya,قسم  باب الشعرية,EG0116,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:117,117,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:117,Al Zahir,قسم  الظاهر,EG0117,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:118,118,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:118,Al Sharabiyya,قسم  الشرابية,EG0118,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:119,119,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:119,Shubra,قسم شبرا,EG0119,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:120,120,1603:45:16:818:0,1603:45:16:818:1:1,1603:45:16:818:2:120,Rud Al-Farag,قسم روض الفرج,EG0120,Cairo,القاهرة,EG01,Egypt,مِصر,EG,2017-08-14,2020-12-01,
