#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:850:2:1004600,1004600,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1004600,Anna's Hope Village,VI01004600,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1020800,1020800,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1020800,Christiansted,VI01020800,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1031600,1031600,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1031600,East End,VI01031600,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1038800,1038800,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1038800,Frederiksted,VI01038800,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1059500,1059500,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1059500,Northcentral,VI01059500,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1062200,1062200,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1062200,Northwest,VI01062200,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1071200,1071200,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1071200,Sion Farm,VI01071200,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1073900,1073900,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1073900,Southcentral,VI01073900,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:1075700,1075700,1603:45:16:850:0,1603:45:16:850:1:10,1603:45:16:850:2:1075700,Southwest,VI01075700,,,,St. Croix,VI010,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:2015400,2015400,1603:45:16:850:0,1603:45:16:850:1:20,1603:45:16:850:2:2015400,Central,VI02015400,,,,St. John,VI020,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:2027100,2027100,1603:45:16:850:0,1603:45:16:850:1:20,1603:45:16:850:2:2027100,Coral Bay,VI02027100,,,,St. John,VI020,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:2028900,2028900,1603:45:16:850:0,1603:45:16:850:1:20,1603:45:16:850:2:2028900,Cruz Bay,VI02028900,,,,St. John,VI020,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:2033400,2033400,1603:45:16:850:0,1603:45:16:850:1:20,1603:45:16:850:2:2033400,East End,VI02033400,,,,St. John,VI020,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:3017200,3017200,1603:45:16:850:0,1603:45:16:850:1:30,1603:45:16:850:2:3017200,Charlotte Amalie,VI03017200,,,,St. Thomas,VI030,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:3034300,3034300,1603:45:16:850:0,1603:45:16:850:1:30,1603:45:16:850:2:3034300,East End,VI03034300,,,,St. Thomas,VI030,United States Virgin Islands,VI,2017-09-09,2019-11-04,
1603:45:16:850:2:3061300,3061300,1603:45:16:850:0,1603:45:16:850:1:30,1603:45:16:850:2:3061300,Northside,VI03061300,,,,St. Thomas,VI030,United States Virgin Islands,VI,2017-09-09,2019-11-04,
