#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm1+name+i_eng+is_latn,#adm1+name+i_rus+is_cyrl,#adm1+name+i_uzb+is_latn,#adm1+code+v_pcode,#adm1+name,#adm1+name+alt1+i_eng+is_latn,#adm1+name+alt2+i_eng+is_latn,#adm1+name+alt1+i_rus+is_cyrl,#adm1+name+alt2+i_rus+is_cyrl,#adm1+name+alt1+i_uzb+is_latn,#adm1+name+alt2+i_uzb+is_latn,#country+name+i_eng+is_latn,#country+name+i_rus+is_cyrl,#country+name+i_uzb+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:860:1:3,3,Andizhan,Андижанская,Andijon,UZ03,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:6,6,Bukhara,Бухарская,Buxoro,UZ06,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:8,8,Dzhizak,Джизакская,Jizzax,UZ08,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:10,10,Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:12,12,Navoi,Навоийская,Navoiy,UZ12,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:14,14,Namangan,Наманганская,Namangan,UZ14,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:18,18,Samarkand,Самаркандская,Samarqand,UZ18,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:22,22,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:24,24,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:26,26,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:27,27,Tashkent,Ташкентская,Toshkent,UZ27,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:30,30,Fergana,Ферганская,Farg'ona,UZ30,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:33,33,Khorezm,Хорезмская,Xorazm,UZ33,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:35,35,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,,,,,,,,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
