qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,eng-Latn-r-pSKOS-pprefLabel-ps5001,rus-Cyrl-r-pSKOS-pprefLabel-ps5001,uzb-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,rus-Cyrl-r-pSKOS-pprefLabel-ps5000,uzb-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:860:1:3,3,1603:45:16:860:0,1603:45:16:860:1:3,Andizhan,Андижанская,Andijon,UZ03,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:6,6,1603:45:16:860:0,1603:45:16:860:1:6,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:8,8,1603:45:16:860:0,1603:45:16:860:1:8,Dzhizak,Джизакская,Jizzax,UZ08,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:10,10,1603:45:16:860:0,1603:45:16:860:1:10,Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:12,12,1603:45:16:860:0,1603:45:16:860:1:12,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:14,14,1603:45:16:860:0,1603:45:16:860:1:14,Namangan,Наманганская,Namangan,UZ14,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:18,18,1603:45:16:860:0,1603:45:16:860:1:18,Samarkand,Самаркандская,Samarqand,UZ18,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:22,22,1603:45:16:860:0,1603:45:16:860:1:22,Surkhandarya,Сурхандарьинская,Surxandaryo,UZ22,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:24,24,1603:45:16:860:0,1603:45:16:860:1:24,Syrdarya,Сырдарьинская,Sirdaryo,UZ24,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:26,26,1603:45:16:860:0,1603:45:16:860:1:26,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:27,27,1603:45:16:860:0,1603:45:16:860:1:27,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:30,30,1603:45:16:860:0,1603:45:16:860:1:30,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:33,33,1603:45:16:860:0,1603:45:16:860:1:33,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
1603:45:16:860:1:35,35,1603:45:16:860:0,1603:45:16:860:1:35,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
